"Artigo:","Autor:","Página:","Edição:","Categorias:","Componentes:","Notas:","Data:"
"A Lei de Ohm",,3,1,,,,
"O Resistor",,9,1,,,,
"Cartas",,21,1,,,,
"Troca-Troca",,24,1,,,,
"Truques & Dicas",,27,1,,,,
"Arquivo Técnico",,34,1,,,,
"Piloto para interruptor de Parede",,39,1,,,,
"Pisca-Pisca alternado bicolor",,45,1,,,,
"O Capacitor",,3,2,,,,
"Cartas",,16,2,,,,
"Troca-Troca",,18,2,,,,
"Truques & Dicas",,22,2,,,,
"Arquivo Técnico",,29,2,,,,
"Temporizador sensível ao toque",,43,2,,,,
"Sirene de polícia automática",,49,2,,,,
"Corrente Contínua/Corrente Alternada e diodos",,3,3,,,,
"Cartas",,16,3,,,,
"Troca-Troca",,19,3,,,,
"Truques & dicas",,24,3,,,,
"Arquivo Técnico",,30,3,,,,
"Fonte de alimentação 6V x 500mA",,41,3,,,,
"O jogo do Rio",,51,3,,,,
"Os efeitos manéticos da corrente elétrica",,3,4,,,,
"Cartas",,18,4,,,,
"Troca-Troca",,21,4,,,,
"Truques & dicas",,25,4,,,,
"Arquivo técnico",,35,4,,,,
"Intercomunicador",,43,4,,,,
"Passarinho eletrônico",,49,4,,,,
"O LED (Diodo Emissor de Luz)",,3,5,,,,
"Cartas",,16,5,,,,
"Troca-Troca",,20,5,,,,
"Truques & dicas",,29,5,,,,
"Arquivo técnico",,39,5,,,,
"Jogo do quadrado luminoso",,44,5,,,,
"Alarme para portas e Janelas",,50,5,,,,
"O Transístor (1a parte)",,3,6,,,,
"Cartas",,14,6,,,,
"Troca-Troca",,18,6,,,,
"Truques & Dicas",,27,6,,,,
"Arquivo Técnico",,33,6,,,,
"Vagalume Automático",,37,6,,,,
"Testador universal de transístores",,44,6,,,,
"O transístor (2a parte)",,3,7,,,,
"Cartas",,17,7,,,,
"Troca-Troca",,20,7,,,,
"Truques & Dicas",,29,7,,,,
"Arquivo técnico",,36,7,,,,
"Barreira ótica de segurança",,42,7,,,,
"Jogo da mão boa",,49,7,,,,
"O transístor (3a Parte)",,3,8,,,,
"Cartas",,16,8,,,,
"Troca-troca",,20,8,,,,
"Truques & Dicas",,29,8,,,,
"Arquivo técnico",,35,8,,,,
"Bichinho escutador",,41,8,,,,
"Efeito carro de bombeiros",,49,8,,,,
"O transístor (4a Parte)",,3,9,,,,
"Cartas",,16,9,,,,
"Troca-Troca",,19,9,,,,
"Truques & Dicas",,29,9,,,,
"Arquivo Técnico",,35,9,,,,
"Microfone 'feito em casa'",,39,9,,,,
"Alarme de balanço/Vibração para Carro e Moto",,45,9,,,,
"O diodo Zener e os Tirístores (SCR,TRIAC, DIAC)",,3,10,,,,
"Cartas",,20,10,,,,
"Truques & dicas",,27,10,,,,
"Arquivo Técnico",,34,10,,,,
"Interruptor Crepuscular supre simples",,38,10,,,,
"Voltímetro de bancada de baixo custo",,47,10,,,,
"Os resistores 'dependentes'",,3,11,,,,
"Cartas",,18,11,,,,
"Truques & Dicas",,25,11,,,,
"Arquivo técnico",,37,11,,,,
"Termo Monitor",,40,11,,,,
"Luz rítimica para carro",,47,11,,,,
"As medições e os medidores",,3,12,,,,
"Cartas",,18,12,,,,
"Truques & dicas",,27,12,,,,
"Arquivo técnico",,33,12,,,,
"Metralhadora eletrônica",,44,12,,,,
"Detetor de mentiras",,50,12,,,,
"As medições e os medidores (2a Parte)",,3,13,,,,
"Cartas",,15,13,,,,
"Truques & dicas",,23,13,,,,
"Arquivo Técnico",,28,13,,,,
"Controlador de tensão",,39,13,,,,
"Amplificador/Reforçador de áudio",,44,13,,,,
"Os circuitos integrados",,3,14,,,,
"Cartas",,15,14,,,,
"Truques & Dicas",,22,14,,,,
"Arquivo técnico",,30,14,,,,
"Alarme sensor integrado, de toque ou proximidade",,41,14,,,,
"Os circuitos integrados (Parte 2)",,3,15,,,,
"Cartas",,17,15,,,,
"Truques & dicas",,20,15,,,,
"Arquivo técnico",,26,15,,,,
"Ohmímetro multi-faixas (sem galvanômetro)",,35,15,,,,
"Efeito 'Gira-LEDs'",,41,15,,,,
