Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Eletrônica Básica: o que é a Eletrônica?,Alfredo Manhães,5,2020-07,,,Página do PDF (edição sem numeração impressa),Julho/2020
Eletrônica I: projetando um estágio seguidor de emissor (transistor bipolar de junção em coletor comum),Álvaro Neiva,13,2020-07,,,Página do PDF (edição sem numeração impressa),Julho/2020
Análise do amplificador Cygnus PA1800D,Marcelo Yared,31,2020-07,,,Página do PDF (edição sem numeração impressa),Julho/2020
Engenharia de Áudio: distorções em medições de amplificadores Classe D - filtro AES-17,Francisco Monteiro,46,2020-07,,,Página do PDF (edição sem numeração impressa),Julho/2020
"Uma pequena história, não oficial, do começo da Gradiente",Marcelo Yared,62,2020-07,,,Página do PDF (edição sem numeração impressa),Julho/2020
Você sabe o que são as Equações de Maxwell?,,71,2020-07,,,Página do PDF (edição sem numeração impressa),Julho/2020
Realimentação negativa em amplificadores,João Yazbek,2,2020-08,,,Página do PDF (edição sem numeração impressa),Agosto/2020
Parâmetros de Thiele/Small para alto-falantes Novik,Marcelo Yared,5,2020-08,,,Página do PDF (edição sem numeração impressa),Agosto/2020
Projeto de pré-amplificadores e equalizadores RIAA para toca-discos - Parte I,Álvaro Neiva,13,2020-08,,,Página do PDF (edição sem numeração impressa),Agosto/2020
Análise do amplificador Polyvox PM 5000,Marcelo Yared,19,2020-08,,,Página do PDF (edição sem numeração impressa),Agosto/2020
Projeto de fonte de alimentação em corrente contínua (conversor CA/CC) com regulador linear - Parte I,Álvaro Neiva,29,2020-08,,,Página do PDF (edição sem numeração impressa),Agosto/2020
Alan Blumlein - o inventor do som estereofônico,Marcelo Yared,43,2020-08,,,Página do PDF (edição sem numeração impressa),Agosto/2020
"Palitar ou não palitar, eis a questão!",Josué Paz,2,2020-09,,,Página do PDF (edição sem numeração impressa),Setembro/2020
(D)Efeito Doppler em alto-falantes,Francisco Monteiro,6,2020-09,,,Página do PDF (edição sem numeração impressa),Setembro/2020
Potência de saída: uma guerra de números e siglas,João Yazbek,21,2020-09,,,Página do PDF (edição sem numeração impressa),Setembro/2020
Análise do amplificador Gradiente A1,Marcelo Yared,27,2020-09,,,Página do PDF (edição sem numeração impressa),Setembro/2020
Projeto de fonte de alimentação em corrente contínua (conversor CA/CC) com regulador linear - Parte II,Álvaro Neiva,48,2020-09,,,Página do PDF (edição sem numeração impressa),Setembro/2020
Projeto de pré-amplificadores e equalizadores RIAA para toca-discos - Parte II,Álvaro Neiva,57,2020-09,,,Página do PDF (edição sem numeração impressa),Setembro/2020
Como ligar um transformador 110/220 V sem identificação dos fios,Paulo Brites,4,2020-10,,,Página da revista,Outubro/2020
Sobre o projeto de pré-amplificadores e equalizadores RIAA para toca-discos - Parte III,Álvaro Neiva,13,2020-10,,,Página da revista,Outubro/2020
Amplificadores de potência: classes e especificações,João Yazbek,36,2020-10,,,Página da revista,Outubro/2020
Análise do amplificador Gradiente HA-II,Marcelo Yared,43,2020-10,,,Página da revista,Outubro/2020
Fundamentos de Eletrônica - Parte II,Alfredo Manhães,63,2020-10,,,Página da revista,Outubro/2020
Transistores falsos: como reconhecê-los?,Marcelo Yared,72,2020-10,,,Página da revista,Outubro/2020
Eletrônica I: projetando um estágio seguidor de fonte (FET em dreno comum),Álvaro Neiva,80,2020-10,,,Página da revista,Outubro/2020
Projetando um Estágio Seguidor de Fonte (MOSFET em Dreno Comum),Álvaro Neiva,2,2020-11,,,,Novembro/2020
As Fontes de Sinal de Áudio,João Yazbek,18,2020-11,,,,Novembro/2020
TVKX O Reinício,Jaime Gonçalves de Moraes Filho,21,2020-11,,,,Novembro/2020
Resposta Temporal de Alto Falante em Caixa Refletora de Graves Processada por Filtros Digitais,Francisco Monteiro,26,2020-11,,,,Novembro/2020
Microprocessadores e Microcontroladores – O Que É Importante Todo Técnico Reparador Saber,Paulo Brites,47,2020-11,,,,Novembro/2020
ANTENAS: Coaxial ou Linha Aberta?,"PY1AFA, Gil (SK)",53,2020-11,,,,Novembro/2020
Projeto de Fonte de Alimentação em Corrente Contínua (conversor CA/CC) Com Regulador Linear – Parte III,Álvaro Neiva,57,2020-11,,,,Novembro/2020
Fundamentos de Eletrônica - Parte III,Alfredo Manhães,73,2020-11,,,,Novembro/2020
Análise do Amplificador Quasar QA4400,Marcelo Yared,78,2020-11,,,,Novembro/2020
Projeto de Pré-amplificadores e Equalizadores RIAA Para Toca-Discos – Parte IV,Álvaro Neiva,3,2020-12,,,,Dezembro/2020
Subwoofers,João Yazbek,12,2020-12,,,,Dezembro/2020
TVKX – Defeito (QUASE) Impossível,Jaime Gonçalves de Moraes Filho,18,2020-12,,,,Dezembro/2020
Como Descobrir a Potência de Um Transformador,Paulo Brites,23,2020-12,,,,Dezembro/2020
Projeto de Fonte de Alimentação em Corrente Contínua (conversor CA/CC) Com Regulador Linear – Parte IV,Álvaro Neiva,28,2020-12,,,,Dezembro/2020
Fundamentos de Eletrônica - Parte IV,Alfredo Manhães,48,2020-12,,,,Dezembro/2020
Análise do Amplificador Integrado Gradiente Model 246,Marcelo Yared,57,2020-12,,,,Dezembro/2020
Resenha - Controladores Lógicos Programáveis,Valter Luís A. de Camargo,77,2020-12,,,,Dezembro/2020
ANTENNA – Uma História – Capítulo I,Jaime Gonçalves de Moraes Filho,3,2021-01,,,,Janeiro/2021
Subwoofers,João Yazbek,7,2021-01,,,,Janeiro/2021
TVKX – CHAPA QUENTE,Jaime Gonçalves de Moraes Filho,12,2021-01,,,,Janeiro/2021
"O Transformador Queimou e Não Sei as Especificações, o Que Fazer?",Paulo Brites,18,2021-01,,,,Janeiro/2021
Projeto de Fonte de Alimentação em Corrente Contínua Com Regulador Linear – Parte V,Álvaro Neiva,21,2021-01,,,,Janeiro/2021
CQ – RADIOAMADORES – Antena Jungle Job para 11 Metros,Ademir – PT9HP,34,2021-01,,,,Janeiro/2021
Fundamentos de Eletrônica – Parte V,Alfredo Manhães,35,2021-01,,,,Janeiro/2021
Projeto de Pré-amplificadores e Equalizadores RIAA Para Toca-Discos – Parte V,Álvaro Neiva,42,2021-01,,,,Janeiro/2021
Análise do Amplificador WB505,Marcelo Yared,52,2021-01,,,,Janeiro/2021
ANTENNA – Uma História – Capítulo II,Jaime Gonçalves de Moraes Filho,3,2021-02,,,,Fevereiro/2021
CQ – RADIOAMADORES – Modem Universal para Modalidades Digitais (Incluindo CW!),Ademir – PT9HP,6,2021-02,,,,Fevereiro/2021
Transformadores e Autotransformadores de Força e de Áudio – Potência e Tamanho,Álvaro Neiva,12,2021-02,,,,Fevereiro/2021
Construa um Simples Testador de Diodos Zener,Marcelo Yared,33,2021-02,,,,Fevereiro/2021
O Novo Mundo do Áudio Digital,João Yazbek,41,2021-02,,,,Fevereiro/2021
