"Artigo:","Autor:","Página:","Edição:","Categorias:","Componentes:","Notas:","Data:"
"Controle remoto infra-vermelho",,3,1,,,,
"Receptor experimental de VHF",,12,1,,,,
"Aventura dos componentes",,17,1,,,,
"Livros em lançamento",,18,1,,,,
"Mini-Gerador de barras para TV",,38,1,,,,
"Robô respondedor",,6,2,,,,
"Alarma de presença ou passagem",,10,2,,,,
"Campainha residencial passarinho",,33,2,,,,
"Luz de segurança automática",,40,2,,,,
"Aventura dos componentes (No país dos circuitos)",,16,2,,,,
"Tabelão' de componentes APE",,4,2,,,,
"Instruções gerais para montagens",,3,2,,,,
"Correio técnico",,38,2,,,,
"Circuitim",,17,2,,,,
"Circuitim",,48,2,,,,
"Dadinhos",,9,2,,,,
"Dadinhos",,17,2,,,,
"Dadinhos",,48,2,,,,
"Alarme de porta super econômico",,7,3,,,,
"Intercomunicador",,14,3,,,,
"Controle Remoto sônico",,33,3,,,,
"Luz temporizada automática",,45,3,,,,
"Simples Multipisca",,7,4,,,,
"Gravador automático de chamadas telefônicas",,12,4,,,,
"Amplificador estéreo para Walkman",,33,4,,,,
"Simples Radiocontrole",,41,4,,,,
"Alarme/Sensor de aproximação temporizado",,7,5,,,,
"Super Fuzz-Sustainer para guitarra",,13,5,,,,
"Robovox (Voz de robô II)",,33,5,,,,
"Brinde de capa: Pirilampo Perpétuo",,38,5,,,,
"Booster FM-TV",,40,5,,,,
"Alarme de balanço para carro ou moto",,7,6,,,,
"Radiocontrole monocanal",,15,6,,,,
"Massageador eletrônico",,33,6,,,,
"Tiro ao alvo eletrônico",,40,6,,,,
"Super-Timer regulável",,42,6,,,,
"Chave acústica super sensível",,7,7,,,,
"Rádio Portátil AM4",,12,7,,,,
"(Brinde) Micro Sirene de polícia",,17,7,,,,
"Alarme de maçaneta",,33,7,,,,
"Super termostato de precisão",,38,7,,,,
"Super sintetizador de sons e efeitos",,7,8,,,,
"Amplificador para guitarra 30 Watts",,12,8,,,,
"(Brinde de capa) Micro teste universal para transistores",,18,8,,,,
"Receptor portátil FM",,33,8,,,,
"Micro Radar infra-vermelho",,41,8,,,,
"Barreira Optica automática",,7,9,,,,
"Iluminador de emergência",,13,9,,,,
"Tri-sequencial de potência, econômica",,17,9,,,,
"Mini-estação de rádio AM",,33,9,,,,
"Pistola espacial",,40,9,,,,
"Carregador profissional de bateria",,42,9,,,,
"Módulo contador digital para display gigante",,7,10,,,,
"Sequencial 4V",,14,10,,,,
"Sensi-rítmica de potência II",,18,10,,,,
"Alternador para fluorescente (12V)",,33,10,,,,
"Micro-Provador de continuidade",,38,10,,,,
"Detetor de metais",,40,10,,,,
"Relógio digital integrado",,7,11,,,,
"Maxi-transmissor FM",,16,11,,,,
"Display numérico digital (7 segmentos)",,20,11,,,,
"Radar ultra sonico (Alarme volumétrico)",,31,11,,,,
"Passarinho automatico",,40,11,,,,
"Anti roubo 'resgate' para carro",,45,11,,,,
"Controle remoto ultra-sonico",,7,12,,,,
"Maxi-central de alarme residencial",,14,12,,,,
"Conversor 12V para 6-9V",,24,12,,,,
"Super sirene para alarmes",,33,12,,,,
"Efeito maluquete",,38,12,,,,
"Pisca de potência noturno automático",,40,12,,,,
"Bongo Eletrônico",,7,13,,,,
"Espião telefônico",,10,13,,,,
"Campainha residencial Dim-Dom",,14,13,,,,
"Amplificador estereo 100W para auto-rádio ou toca-fita",,18,13,,,,
"Comando secreto magnético para alarme de veívulo",,29,13,,,,
"Alarme ou interruptor sensível ao toque",,38,13,,,,
"Módulo amplificador localizado para sonorização ambiente (10W)",,7,14,,,,
"Micro-Amplificador espião",,12,14,,,,
"Grilo eletrônico automático",,16,14,,,,
"Micro-temporizador portátil",,25,14,,,,
"Poltergeist - O projeto",,34,14,,,,
"Super Pisca 10 LEDs",,40,14,,,,
"Trêmolo para guitarra",,8,15,,,,
"Minuteria Profissional (Coletiva Bitensão)",,11,15,,,,
"Sintetizador de estéreo espacial",,16,15,,,,
"Voltímetro bargraph para carro",,27,15,,,,
"Alerta de ré para veículos",,40,15,,,,
"Mini labirinto eletrônico",,77,15,,,,
"Ionizador ambiental",,7,16,,,,
"Telefone de brinquedo",,12,16,,,,
"Micro transmissor telefonico",,17,16,,,,
"Caleidoscópio eletrônico",,22,16,,,,
"Alarme magnético CA",,33,16,,,,
"Controle de velocidade para motores CC (Com tacômetro opcional)",,42,16,,,,
"Mini eliminador de pilhas (sem transformador)",,7,17,,,,
"Roletão II",,12,17,,,,
"Caixa de música 5313",,18,17,,,,
"Risadinha eletrônica",,27,17,,,,
"Interruptor crepuscular profissional",,36,17,,,,
"Luz fantasma",,42,17,,,,
"Relógio analógico digital (12 horas com 'tique-taque')",,8,18,,,,
"Bandolinha eletrônica (com vibrato)",,18,18,,,,
"Testa transistor (no circuito)",,24,18,,,,
"Campainha residencial carrilhão",,35,18,,,,
"Bastão mágico",,44,18,,,,
"Seguidor/injetor de sinais (amplificador de bancada)",,48,18,,,,
"Contador digital ampliável",,7,19,,,,
"Fogo eletrônico",,12,19,,,,
"Super sente gente",,16,19,,,,
"Módulo termométrico de precisão",,27,19,,,,
"Fonte regulável estabilizada",,36,19,,,,
"Mini central de alarme/comercial",,42,19,,,,
"Temporizador longo 'liga/Desliga'",,7,20,,,,
"LED efeito galáxia",,14,20,,,,
"Teclado codificador digital de segurança",,20,20,,,,
"Construa e instale (Corretamente) sua antena de UHF (TV)",,28,20,,,,
"Conversor 12Vcc/110-220VCA",,45,20,,,,
"Amplificador transistorizado de média potência",,54,20,,,,
"Roleta russa",,58,20,,,,
"Chave' Eletro magnética sem fio",,7,21,,,,
"Lâmpada mágica",,16,21,,,,
"Dimmer de toque com memória",,20,21,,,,
"Super VU sem fio",,31,21,,,,
"Controle remoto foto-acionado (para iniciante)",,40,21,,,,
"Módulo sensor de impacto (Multi uso)",,48,21,,,,
"Wattímetro profissional",,7,22,,,,
"Buzina super-pássaro para carro",,14,22,,,,
"sinalizador a LEDs Universal",,20,22,,,,
"Contador-descontador digital de passagem",,31,22,,,,
"Luz rítmica 10 LEDs (12 Volts)",,44,22,,,,
"Módulo capacímetro para multiteste",,50,22,,,,
"Campainha digital para telefone",,7,23,,,,
"Simulador de estéreo - baixo custo",,12,23,,,,
"Micro Teste CA (110-220)",,18,23,,,,
"Sintonizador FM II",,27,23,,,,
"Câmara de eco e reverberação eletrônica",,32,23,,,,
"Captador eletrônico para violões",,38,23,,,,
"Monitor de linha telefônica",,50,23,,,,
"Fliperama portátil",,7,24,,,,
"Pré-mixer universal",,14,24,,,,
"Pinto na mão",,20,24,,,,
"Dado eletrônico de toque",,24,24,,,,
"Uá-Uá automático para guitarra",,35,24,,,,
"Especial: Coletânea de mini circuitos práticos",,46,24,,,,
"Luminária acionada por toque",,51,24,,,,
"Super controle remoto infra-vermelho (9 canais)",,7,25,,,,
"Over drive para guitarra",,16,25,,,,
"Reativador de pilhas e baterias",,20,25,,,,
"Chave de ignição secreta (para veículos)",,24,25,,,,
"Caça tesouro (Detetor de metais II)",,35,25,,,,
"Especial - Construa e instale captadores para violões e guitarras",,45,25,,,,
"Controle de volume digital (De toque)",,50,25,,,,
"Módulo de controle para rele industrial de tempo",,7,26,,,,
"Alarme de toque/proximidade, temporizado (para maçaneta)",,14,26,,,,
"Controle remoto ultra-sônico, liga desliga (com transdutores específicos)",,20,26,,,,
"Jogo caça-níqueis",,32,26,,,,
"Especial videomaker",,41,26,,,,
"Conta-giros bargraph para carro",,50,26,,,,
"Caçador de duendes",,8,27,,,,
"Módulo de memória para link temporizado da 'macaré'",,16,27,,,,
"Módulo frequêncimetro para multiteste",,21,27,,,,
"Multi-testador digital para auto-elétrico",,28,27,,,,
"Dimmer escalonado de toque (baixo custo)",,39,27,,,,
"Chave ótica personalizada",,51,27,,,,
"Super-controlador de potência para aquecedores (5kW)",,59,27,,,,
"Chave secreta resistiva",,7,28,,,,
"No Break profissional (para iluminação de emergência)",,14,28,,,,
"Super barreira de segurança (infra vermelho)",,22,28,,,,
"Starter eletrônico (para lâmpadas fluorescentes)",,35,28,,,,
"Detetor ultra-Sônico de movimento e presença",,40,28,,,,
"Efeito arvo-íris",,53,28,,,,
"Módulo universal de medição digital",,7,29,,,,
"Campainha luminosa para telefone",,16,29,,,,
"Lança dados (Crupiê eletrônico)",,20,29,,,,
"Relógio digital-analógico de baixo custo",,31,29,,,,
"Testador para cristais osciladores",,45,29,,,,
"Osciloscópio experimental (Estado sólido)",,53,29,,,,
"Buzina musical",,8,30,,,,
"Protetor para lâmpada incandescente",,14,30,,,,
"Especial - Desafio à criatividade",,20,30,,,,
"Assustadinho",,24,30,,,,
"Detetor de massa plástica em veículos",,38,30,,,,
"Super-fonte regulada",,47,30,,,,
"Campainha residencial musical",,8,31,,,,
"Desafio a criatividade (uma resposta...)",,14,31,,,,
"Arvore automática",,18,31,,,,
"Assaltamos a gaveta do projetista",,29,31,,,,
"Sirene de 3 tons",,41,31,,,,
"Tri-pisca de potência",,48,31,,,,
"Correio técnico",,5,32,,,,
"Bastão de defesa",,9,32,,,,
"Rele eletrônico para gravações telefônicas",,12,32,,,,
"Lanternas automáticas para carro",,18,32,,,,
"Acionador de potência (CA) sensível ao toque",,21,32,,,,
"Alarme de bateria 'baixa'",,24,32,,,,
"Dimmer de potência, escalonado (220V)",,31,32,,,,
"Simples detetor de metais",,34,32,,,,
"Voltímetro 'sonoro' (Ponta de prova audível)",,38,32,,,,
"Simples conversor 12 Vcc para 110/220 VCA - 60Hz",,47,32,,,,
"Desafio à criatividade - Resultado",,50,32,,,,
"Teste digital de cabos (profissional)",,52,32,,,,
"Alarme de toque temporizado",,56,32,,,,
"Temporizador 'curto' com alarme",,58,32,,,,
"Caixinha de 7 músicas e campainha residencial com 7 melodias",,9,33,,,,
"Emotímetro'",,16,33,,,,
"Relê de estado sólido",,22,33,,,,
"Mordomo eletrônico",,23,33,,,,
"Módulo Bate-Volta",,26,33,,,,
"Super simulador de presença",,30,33,,,,
"Sossegador de 'campainheiro'",,39,33,,,,
"Monitor digital de tensão",,47,33,,,,
"A incrível cabeça robô",,50,33,,,,
"Buzina fiu-fiu para carro",,8,34,,,,
"Alarme industrial de não rotação",,12,34,,,,
"Gerador de raios",,18,34,,,,
"Controle remoto via rede C.A.",,22,34,,,,
"Cronometro digital (quase...) de graça!",,26,34,,,,
"Walkman AM",,30,34,,,,
"Anti-escuta telefonica",,39,34,,,,
"Amplificador completo (média potência)",,42,34,,,,
"Simples conta-giros para veículos",,47,34,,,,
"Dimmer aperfeiçoado",,51,34,,,,
"Micro-alarme para portas e janelas",,54,34,,,,
"Circuitim - Interruptor de toque transistorizado",,56,34,,,,
"Batalha espacial",,8,35,,,,
"Pinto automático",,14,35,,,,
"Termômetro de boa precisão e baixo custo",,18,35,,,,
"Analisador de contatos e conexões",,21,35,,,,
"Versátil módulo para luz rítmica",,24,35,,,,
"Alarme de precisão para desvio de temperatura",,28,35,,,,
"Braço de ferro' eletrônico",,31,35,,,,
"Cálculos práticos de astáveis e monoestáveis com gates CMOS",,39,35,,,,
"Super Testador/Identificador de transístores",,47,35,,,,
"Roleta temporizada com efeito sonoro de baixo custo",,50,35,,,,
"Monitor/Alarme de velocidade para carro",,53,35,,,,
"Multi-ruptor profissional para escadas e corredores",,8,36,,,,
"super detetor de metais",,12,36,,,,
"Mini injetor de sinais",,18,36,,,,
"Multiplicador Vídeo 4 saídas (Especial Video Maker II)",,25,36,,,,
"Termopar intustrial (Até 1000oC)",,32,36,,,,
"Se tremer, dança!",,36,36,,,,
"Campainha musical (sem integrado específico)",,40,36,,,,
"Temporizador retardado duplamente ajustável",,49,36,,,,
"Super carregador de baterias (12V)",,51,36,,,,
"Receptor experimental VHF FM II",,8,37,,,,
"Porteiro automático",,14,37,,,,
"Robozinho tri-zóio",,20,37,,,,
"Relógio digital com despertador (super simples)",,24,37,,,,
"Dimmer com TUJ (Fácil instalação)",,28,37,,,,
"Medidor de ângulo de fechamento para platinados",,37,37,,,,
"Te Peguei!",,40,37,,,,
"Multi carregador para baterias NiCad",,43,37,,,,
"Testador de fonte (alarme de ripple)",,50,37,,,,
"Alarme sonoro de black out",,52,37,,,,
"Alarme localizado com memória (para sensores NA)",,8,38,,,,
"Módulo de delay para áudio (Camara de reverberação e eco 2)",,13,38,,,,
"Microtrans FM",,20,38,,,,
"Repetidor para guitarra 2 (falso eco)",,27,38,,,,
"Zener 'A la carte'",,37,38,,,,
"Sempreluz",,40,38,,,,
"Intercomunicador multi-estações descomplicado",,45,38,,,,
"Módulo controlador para mensagem em PA",,48,38,,,,
"Minuteria profissional EK",,8,39,,,,
"Caixa de surpresa",,14,39,,,,
"Robô jardineiro",,20,39,,,,
"Anti Roubo resgate para carro II",,25,39,,,,
"Desratizador eletrônico",,37,39,,,,
"Temporizador automático para ligações telefônicas",,40,39,,,,
"Módulos para controle remoto infra-vermelho",,44,39,,,,
"Base de tempo de precisão (1Hz baixo custo)",,49,39,,,,
"Lampejador de potência (para veículo de emergência)",,5,40,,,,
"Multi dimmer com memória (por push button)",,10,40,,,,
