Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Editorial,A. Fanzeres,3,5,,,,
Amplificador de 8 W,,4,5,,,,
"""Trimmers"" Miniatura",,6,5,,,,
Núcleos de Ferroxcube (Atenção Projetistas),,7,5,,,,
Unidade Auxiliar de Antena,,8,5,,,,
Ibrape Informa,,9,5,,,,
Purificador Biológico,,10,5,,,,
Vox para Gravador,,12,5,,,,
SCR & Triacs,,14,5,,,,
Microfone sem Fio,,17,5,,,,
Um Disparador Eletrônico,,18,5,,,,
Curso Prático de Eletrônica e Rádio (continuação),Apollon Fanzeres,21,5,,,,
Philco – Transistor de Silício Planar NPN PD1001/PD1002,,23,5,,,,
Transistores Philco – Características Elétricas Típicas,,25,5,,,,
Curso Prático de Eletrônica e Rádio – Capítulo XI: Bobinas e Transformadores,Apollon Fanzeres,26,5,,,,
Voltímetro Eletrônico para C.C.,,28,5,,,,
Transmissor de AM,,30,5,,,,
Tabela de Substituição de Diodos (cortesia Motorola),,32,5,,,,
"Capacitores Cerâmicos ""Plate"" (Ibrape)",,38,5,,,,
Componentes Eletrônicos (Dale Electronics),,40,5,,,,
Laboratório de Linguagens,,41,5,,,,
CTI Eletrônico,,42,5,,,,
Livros,Apollon Fanzeres,44,5,,,,
Editorial,A. Fanzeres,46,5,,,"página 45 do PDF é um artefato de digitalização (mesmo conteúdo da p.46, invertido de cabeça para baixo)",
Pré Amplificador de Hi-Fi,,46,5,,,,
Dissipador de Calor (Xcelite),,47,5,,,,
Transmissor para 27 MHz,,48,5,,,,
Cálculo de Resistores e Condensadores,,49,5,,,,
Luz Psicodélica Rotativa,,50,5,,,,
Escolha o Seu SCR,,53,5,,,,
Indicador Visual de Sintonia FM,,54,5,,,,
Micro Pára-Raio (Dale Electronics),,56,5,,,,
Transistores Darlington,,56,5,,,,
Controle Uau-Uau,,57,5,,,,
Deflexão Vertical sem Transformador,Eng. J. A. Freigeiro (via FAPESA),58,5,,,,
Semicondutores General Electric,,60,5,,,,
Megafone,,62,5,,,,
Cartas,,63,5,,,,
Telefunken Belson FM – esquema,,64,5,,,,
Gerador de Áudio Frequência,,67,5,,,,
Chaves Hexagonais (Xcelite),,69,5,,,,
Filtro Eletrônico,,70,5,,,,
LED's – Lâmpadas em Estado Sólido,,70,5,,,,
IDIM Kit 01 – Regulador de Luz Eletrônico: Apresentação,,71,5,,,,
"IDIM Kit 01 – Regulador de Luz Eletrônico: Circuito, Montagem e Instalação",,76,5,,,,
Divulgação – Transistores para TV (Philco),,80,5,,,,
Livros,Apollon Fanzeres,84,5,,,,
