Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Sirene simples (1 tom) (BC548/2N3055),,9,1,Circuitos,,,
Frequência do multivibrador astável,,9,1,Fórmulas,,,
Interruptor de toque I (MCR 106),,10,1,Circuitos,,,
Interruptor crepuscular (MCR106),,10,1,Circuitos,,,
1N4001 a 1N4007,,11,1,Componentes,,,
Efeitos fisiológicos da corrente elétrica,,11,1,Tabelas e Códigos,,,
Estabilizador paralelo (2N3055),,12,1,Circuitos,,,
Pisca-pisca/Semáforo (BC 548),,12,1,Circuitos,,,
Curva característica do diodo zener,,12,1,Tabelas e Códigos,,,
Frequência de um circuito LC paralelo,,13,1,Fórmulas,,,
Detetor de umidade (SCR),,14,1,Circuitos,,,
Rádio de 3 transistores (BC548/BD 135),,14,1,Circuitos,,,
Resistores em paralelo e em série,,15,1,Fórmulas,,,
Interruptor de togue II (MCR106),,16,1,Circuitos,,,
Capacitores em paralelo e em série,,16,1,Fórmulas,,,
Filtro contra interferências,,17,1,Circuitos,,,
Filtro passa baixas,,17,1,Fórmulas,,,
Simples estroboscópio (MCR 106),,18,1,Circuitos,,,
Espectro de algumas fontes emissoras,,18,1,Tabelas e Códigos,,,
Dimmer com SCR,,19,1,Circuitos,,,
Resistores (código de cores),,19,1,Tabelas e Códigos,,,
Dimmer com Triac,,20,1,Circuitos,,,
Terminais de um potenciômetro (ligações),,20,1,Tabelas e Códigos,,,
Interruptor temporizado (MCR 106),,21,1,Circuitos,,,
Constantes de tempo RC,,21,1,Tabelas e Códigos,,,
Luz rítmica (MCR 106),,22,1,Circuitos,,,
Efeito Joule (dissipação de potência em forma de calor),,22,1,Fórmulas,,,
Alarmes com SCRs (MCR106/TIC 106),,23,1,Circuitos,,,
Teminais de um relé (RU 101006/12),,23,1,Tabelas e Códigos,,,
Inversor de pequena potência,,24,1,Circuitos,,,
"BD135, BD137, BD139, TIP29",,24,1,Componentes,,,
Foto oscilador I (2N2646),,25,1,Circuitos,,,
2N2646,,25,1,Componentes,,,
"Amplificador TBAB20L (2,2W)",,26,1,Circuitos,,,
Faixa de áudio,,26,1,Tabelas e Códigos,,,
Oscilador multi-usos (BC547/BC548),,27,1,Circuitos,,,
Resistência de um condutor homogêneo de secção constante,,27,1,Fórmulas,,,
2N3055,,28,1,Componentes,,,
Tabela de resistividade,,28,1,Tabelas e Códigos,,,
Etapa de áudio simples (1) (TIP/2N3055),,29,1,Circuitos,,,
Luz rítmica de 12V (2N3055),,29,1,Circuitos,,,
Mini buzzer (2N2646),,29,1,Circuitos,,,
Frequência do oscilador unijunção,,30,1,Fórmulas,,,
TIP31,,30,1,Componentes,,,
Rádio sensível com 3 transistores (BC548),,31,1,Circuitos,,,
"BC547, BC548, BC546, BC549, BC550",,31,1,Componentes,,,
Jogo da velocidade (SCR),,32,1,Circuitos,,,
MCR106,,32,1,Componentes,,,
Proteção para fontes (SCR;,,33,1,Circuitos,,,
Cálculo de proteção de fontes,,33,1,Fórmulas,,,
Pulsador fluorescente (MCR 106),,34,1,Circuitos,,,
Lei de Ohm,,34,1,Fórmulas,,,
Transmissor para rádio controle (BF 494),,35,1,Circuitos,,,
BF494,,35,1,Componentes,,,
Eliminador de pilhas (BD/TIP),,36,1,Circuitos,,,
Conversão de capacitâncias e correntes,,36,1,Tabelas e Códigos,,,
