Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Alarme de Baixo Consumo,,84,5,Alarmes e Sensores,,,
Alarme com Chaves N.A.,,17,5,Alarmes e Sensores,,,
Alarme de Luz com Operacional,,21,5,Alarmes e Sensores,,,
Alarme com Reed-Switches,,79,5,Alarmes e Sensores,,,
Alarme de Sobretemperatura,,10,5,Alarmes e Sensores,,,
Alarme de Umidade,,36,5,Alarmes e Sensores,,,
Amplificador para Fototransistor,,88,5,Alarmes e Sensores,,,
Buzzer Unijunção,,5,5,Alarmes e Sensores,,,
Chave de Toque,,14,5,Alarmes e Sensores,,,
Chave de Toque,,82,5,Alarmes e Sensores,,,
Fotodetector com Compensação de Temperatura,,120,5,Alarmes e Sensores,,,
Foto-Relé Sensível (1),,76,5,Alarmes e Sensores,,,
Foto-Réle Sensível (2),,77,5,Alarmes e Sensores,,,
Interruptor Crepuscular,,8,5,Alarmes e Sensores,,,
Interruptor de Toque,,32,5,Alarmes e Sensores,,,
Interruptor de Toque,,101,5,Alarmes e Sensores,,,
LED Foto-Sensor,,121,5,Alarmes e Sensores,,,
Relé Seletivo,,90,5,Alarmes e Sensores,,,
Divisor por 5,,80,5,Circuitos Lógicos Digitais,,,
Flip-Flop R-S com o 7400,,80,5,Circuitos Lógicos Digitais,,,
Modulador Óptico Digital,,112,5,Circuitos Lógicos Digitais,,,
Oscilador de Áudio TTL,,37,5,Circuitos Lógicos Digitais,,,
Oscilador TTL de 1 MHZ,,119,5,Circuitos Lógicos Digitais,,,
Porta NAND Transistorizada,,89,5,Circuitos Lógicos Digitais,,,
Seqüência 4017,,25,5,Circuitos Lógicos Digitais,,,
Interface para Porta Paralela (I),,110,5,Interfaces PC,,,
Interface para Porta Paralela (II),,111,5,Interfaces PC,,,
Modulador Óptico,,130,5,Interfaces PC,,,
Amplificador com Acoplamento Direto,,95,5,"Som, Amplificadores e Efeitos",,,
Amplificador TDA7050,,13,5,"Som, Amplificadores e Efeitos",,,
Casador de Impedâncias,,31,5,"Som, Amplificadores e Efeitos",,,
Controle de Tom e Volume,,72,5,"Som, Amplificadores e Efeitos",,,
Controle de volume e tom,,102,5,"Som, Amplificadores e Efeitos",,,
Etapa amplificadora com FET,,19,5,"Som, Amplificadores e Efeitos",,,
Gerador de Ruído Branco,,103,5,"Som, Amplificadores e Efeitos",,,
Luz Rítmica,,52,5,"Som, Amplificadores e Efeitos",,,
Luz Rítmica de 12 V,,73,5,"Som, Amplificadores e Efeitos",,,
Mixer Passivo,,132,5,"Som, Amplificadores e Efeitos",,,
Mixer Transistorizado,,97,5,"Som, Amplificadores e Efeitos",,,
Pré-Amplificador,,100,5,"Som, Amplificadores e Efeitos",,,
Pré-amplificador de Áudio,,11,5,"Som, Amplificadores e Efeitos",,,
Pré-amplificador de Áudio - 741,,64,5,"Som, Amplificadores e Efeitos",,,
Pré-amplificador para Eletreto,,113,5,"Som, Amplificadores e Efeitos",,,
Pré-amplificador com FET,,107,5,"Som, Amplificadores e Efeitos",,,
Pré-amplificador para Microfone,,78,5,"Som, Amplificadores e Efeitos",,,
Pré-amplificador para Microfone Dinâmico,,58,5,"Som, Amplificadores e Efeitos",,,
Pré-amplificador para Microfone de Eletreto,,68,5,"Som, Amplificadores e Efeitos",,,
Relé para Áudio e C.A.,,85,5,"Som, Amplificadores e Efeitos",,,
Sirene Básica,,71,5,"Som, Amplificadores e Efeitos",,,
Sirene Manual,,55,5,"Som, Amplificadores e Efeitos",,,
Som Remoto,,54,5,"Som, Amplificadores e Efeitos",,,
Acionador Intermitente,,108,5,Controles de Potência,,,
Controle de Brilho,,66,5,Controles de Potência,,,
Controle PWM para Cargas DC,,126,5,Controles de Potência,,,
Controle de Sentido de Rotação de Motor DC,,61,5,Controles de Potência,,,
Controle de Solenóide,,93,5,Controles de Potência,,,
Dimmer DC de Alta Potência,,122,5,Controles de Potência,,,
Dimmer de 12 V x 500 mA,,124,5,Controles de Potência,,,
Drive para SMA,,91,5,Controles de Potência,,,
Excitador de Relé com Transistores,,27,5,Controles de Potência,,,
Protetor de Lâmpadas com SIDAC,,62,5,Controles de Potência,,,
Reversão com Relé,,11,5,Controles de Potência,,,
Interruptor com SCR,,24,5,Controles de Potência,,,
Etapa de ganho de 75 dB,,7,5,"RF, Rádios e Transmissores",,,
Modulador Unijunção,,96,5,"RF, Rádios e Transmissores",,,
Transmissor CW,,49,5,"RF, Rádios e Transmissores",,,
Transmissor CW,,116,5,"RF, Rádios e Transmissores",,,
Transmissor de FM com Circuito Integrado,,81,5,"RF, Rádios e Transmissores",,,
Alimentação de LEDs (1),,41,5,Fontes e Circuitos DC,,,
Alimentação de LEDs (2),,42,5,Fontes e Circuitos DC,,,
Conversor de 12 V para 6 ou 9 V,,18,5,Fontes e Circuitos DC,,,
Divisor de Tensão,,116,5,Fontes e Circuitos DC,,,
Drive de 2/3/4 LEDs CMOS,,125,5,Fontes e Circuitos DC,,,
Eliminador de Bateria de 9 V,,105,5,Fontes e Circuitos DC,,,
Fonte de 6 V x 2 A,,129,5,Fontes e Circuitos DC,,,
Fonte Protegida de 9 V/500 mA,,51,5,Fontes e Circuitos DC,,,
Fonte sem Transformador,,65,5,Fontes e Circuitos DC,,,
Fonte TTL,,97,5,Fontes e Circuitos DC,,,
Redutor Fácil de 12 V para 9 V,,45,5,Fontes e Circuitos DC,,,
Redutor de Tensão de Diodos,,78,5,Fontes e Circuitos DC,,,
Referência de 5 V,,43,5,Fontes e Circuitos DC,,,
Regulador de 12 V/100 mA,,117,5,Fontes e Circuitos DC,,,
Zener Variável,,63,5,Fontes e Circuitos DC,,,
Amplificador Aperiódico,,115,5,Instrumentação/Operacionais,,,
Amplificador com Ganho de 1 a 100,,26,5,Instrumentação/Operacionais,,,
Amplificador com Ganho 10,,27,5,Instrumentação/Operacionais,,,
Amplificador com TL060 (Operacional),,9,5,Instrumentação/Operacionais,,,
Chave Óptica,,118,5,Instrumentação/Operacionais,,,
Diferenciador/Integrador,,12,5,Instrumentação/Operacionais,,,
Etapa de ganho de 75 dB,,7,5,Instrumentação/Operacionais,,,
Fotômetro Neon,,15,5,Instrumentação/Operacionais,,,
Fototransistor de Alta Velocidade,,94,5,Instrumentação/Operacionais,,,
Luxômetro,,30,5,Instrumentação/Operacionais,,,
Provador de Capacitores,,67,5,Instrumentação/Operacionais,,,
Tacômetro com 555,,92,5,Instrumentação/Operacionais,,,
Termômetro,,20,5,Instrumentação/Operacionais,,,
Termômetro,,128,5,Instrumentação/Operacionais,,,
Teste de Diodos Zeners,,105,5,Instrumentação/Operacionais,,,
Voltímetro CC,,86,5,Instrumentação/Operacionais,,,
Bioestável com 741,,33,5,Timers e Osciladores,,,
Chave com Retardo,,125,5,Timers e Osciladores,,,
Disparador de Schmitt,,75,5,Timers e Osciladores,,,
Foto - Multivibrador,,22,5,Timers e Osciladores,,,
Foto-Oscilador com transistor Unijunção,,16,5,Timers e Osciladores,,,
Gerador de 3 Tons,,60,5,Timers e Osciladores,,,
Gerador de Pulso Único,,29,5,Timers e Osciladores,,,
Gerador Retangular com Unijunção,,98,5,Timers e Osciladores,,,
Gerador Triangular-Quadrado,,123,5,Timers e Osciladores,,,
Injetor de Sinais,,48,5,Timers e Osciladores,,,
Interruptor Temporizado,,34,5,Timers e Osciladores,,,
Intervalador,,57,5,Timers e Osciladores,,,
Luz de Tempo C.A.,,102,5,Timers e Osciladores,,,
Metrônomo,,87,5,Timers e Osciladores,,,
Metrônomo 555,,46,5,Timers e Osciladores,,,
Minitemporizador,,23,5,Timers e Osciladores,,,
Monoestável com Relé,,70,5,Timers e Osciladores,,,
Monoestável com Transistores,,59,5,Timers e Osciladores,,,
Oscilador de 1 kHz,,40,5,Timers e Osciladores,,,
Oscilador de 32 kHz,,44,5,Timers e Osciladores,,,
Oscilador com o 4002,,56,5,Timers e Osciladores,,,
Oscilador de 600 kHz,,6,5,Timers e Osciladores,,,
Oscilador de Áudio com o 555,,50,5,Timers e Osciladores,,,
Oscilador Dente-de-serra com Unijunção,,28,5,Timers e Osciladores,,,
Oscilador Pierce a Cristal,,24,5,Timers e Osciladores,,,
Oscilador com Trasistor Unijunção,,111,5,Timers e Osciladores,,,
Oscilador com trasistor de Unijunção,,39,5,Timers e Osciladores,,,
Pisca-LED Simplificado,,47,5,Timers e Osciladores,,,
Pisca-LED com Transistor Unijunção,,35,5,Timers e Osciladores,,,
Pisca-pisca de 6 V,,38,5,Timers e Osciladores,,,
Pisca-pisca com Lâmpada Neon,,12,5,Timers e Osciladores,,,
Pisca-Pisca de Potência,,83,5,Timers e Osciladores,,,
Pisca-Pisca Simples Transistorizado,,114,5,Timers e Osciladores,,,
Temporizador,,106,5,Timers e Osciladores,,,
Filtro contra Interferências,,110,5,Filtros,,,
Filtro Passa-Altas de 12 dB/oitava,,46,5,Filtros,,,
Diapasão,,4,5,Diversos,,,
Eletrificador,,99,5,Diversos,,,
Nervo-Teste com Choque,,53,5,Diversos,,,
Rádio AM,,74,5,Diversos,,,
Telégrafo Telúrico,,104,5,Diversos,,,
Alto-falante,,18,5,Componentes,,,
BAT82 - Diodo Schottky,,44,5,Componentes,,,
BB204/BB304,,17,5,Componentes,,,
BC107/108/109 - Transistores NPN de uso geral - equivalentes do BC547/548/549,,62,5,Componentes,,,
BC413/414/415/416 - Transistores NPN de uso Geral,,59,5,Componentes,,,
BD263 - Transistor NPN Darlington de Potência,,55,5,Componentes,,,
BD329 - Transistor NPN de Potência até 10 W,,120,5,Componentes,,,
