Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Curso de TV Preto e Branco (Telefunken),,1,9,,,Centro de Aperfeiçoamento Técnico Telefunken/AEG; manual de serviço seriado,
Eletrônomo,,16,9,,6SB7,Eletrômetro a válvula; projeto Brimar,
Amplificador à Válvula,Antônio Venâncio Castilho,17,9,,"12AU7, 6AQ5",Colaboração de leitor,
Caneta para Desenhar Circuitos Impressos,,18,9,,,Divulgação; Decon Laboratories,
A Calibração de Receptores de Rádio Superheteródinos,,19,9,,,,
Gerador de RF LABO Modelo G-300,,28,9,,,Descrição e especificações do instrumento,
Regulador de Luz Temporizado,,32,9,,,IDIM-KIT,
Tabela de Dimensões de Antenas (Dipolos),,37,9,,,,
Intercomunicador Simples,,38,9,,,,
Livros em Revista,A. Fanzeres,40,9,,,,
Curso de Treinamento de Transistores (Philco-Ford),,41,9,,,Seção de Treinamento da Philco Rádio e Televisão; classes de amplificação e amplificadores de potência,
Circuitos Integrados no Processamento de Cor em TVC,,60,9,,,Ibrape; sistema PAL,
A Linha de Retardo de Crominância,,64,9,,,Ibrape,
Alarma para Bebê,,65,9,,,,
Ponte Simples para Medir Condensadores,,66,9,,,,
Transistores de Efeito de Campo – FET,,67,9,,,Ibrape,
Uma Coruja Eletrônica,,68,9,,,Publicado originalmente em Practical Electronics,
Vatímetro para Saída Estereofônica,,71,9,,,,
Bônus da UNESCO,,71,9,,,Importação de livros sem saída de divisas,
Detetor de Mentiras,,72,9,,,,
Rádio Comando em 27 MHz,,74,9,,2N3553,,
Catavento Magnético,,76,9,,,Interruptores reed RI-12 Ibrape,
Cartas,,78,9,,,,
Transistores SOT-54,,79,9,,,Ibrape,
Livros,A. Fanzeres,80,9,,,,
Feira Eletrônica,,81,9,,,Anúncios de leitores,
Problema do Rádio Internacional,Walter Steigner,1,13,,,Reproduzido de A Voz da Alemanha (Deutsche Welle),
Amplificador à Válvula de 20 W,,2,13,,,,
"Voltímetro Digital com ""LOCMOS""",,4,13,,GZF1200,,
Relação Parcial dos Clubes de Ouvintes de DX,,7,13,,,,
Capacitores Eletrolíticos de Alumínio,,8,13,,,Catálogo técnico Icotron/Siemens; termina no próximo número,
Telecomunicação é Unisexo,,20,13,,,,
Relé Luminoso,,20,13,,,,
Ligação de Altofalantes,,22,13,,,,
Suécia Fornece à URSS,,26,13,,,Contrato Stansaab–Aeroflot (sistema TERGAS),
Heteródino de Alta Frequência sem Bobina,,28,13,,"BC107, ASY28",,
Capacitores Eletrolíticos Tipo Axial – Aplicações Gerais,,31,13,,,Dados técnicos Icotron/Siemens,
Cartas,,33,13,,,,
Programa Voz da Alemanha,,34,13,,,,
Teste para Transistores,,35,13,,,Adaptado de artigo de R. A. Penfold (Everyday Electronics),
Trémulo Eletrônico,,36,13,,,,
Alta Saída – Baixo Ruído,,38,13,,,Fitas magnéticas Scotch/3M,
Cardiografia Dinâmica,,41,13,,,Cardiostat 3T Siemens,
Fonte de Alimentação Simples,,42,13,,,,
Pisca-Pisca para Bicicleta,,44,13,,,,
Circuitos Impressos,,45,13,,,Fitas adesivas Bishop Graphics,
Balanço para Estéreos,,46,13,,,,
"Defeitos de Horizontal, MAT e Circuitos Correlatos",,48,13,,,Seção Bancada,
Um Receptor FM,,54,13,,6CW4,,
Atendimento por Telefone,,56,13,,,Sistema MODACOM (Siemens),
Eletricidade Humana,,57,13,,,,
Cara ou Coroa Eletrônico,,58,13,,"2N2926, 2N5354",,
Sistema de Câmaras para Leitura,,60,13,,,Integrated Photomatrix Ltd.,
Sistema Doppler VOR de Orientação,,60,13,,,Decca Navigator,
Provador de Vinho,,61,13,,,"Instituto de Viticultura, Palatinado (Siemens)",
Poluição Sonora,,62,13,,µA741,,
Válvulas Eletrônicas – Nostalgia ou Componentes Ótimos de Comutação?,,64,13,,,Válvulas de catodo frio; Cerberus AG,
Novos LED com Mais Intensidade,,65,13,,,Siemens LD 57 C,
Caixas Acústicas,,66,13,,,,
Multivoltímetro Eletrônico VT-73,,69,13,,,LABO,
As Emissões de Sinais Horários,,70,13,,,,
Passarinho Eletrônico,,72,13,,,,
Impermeabilizador em Aerosol,,73,13,,,Scotchgard (3M),
"Uso Adicional do ""Grid Dip""",,74,13,,,,
"Associação dos Técnicos em Rádio, Televisão e Eletrônica do Estado de S. Paulo",A. Fanzeres,76,13,,,"ATRTE, fundada em 15/03/1975",
Cartas,,77,13,,,,
Amplificadores Operacionais,,78,13,,,"Icotron; TBB0747, TBB0748",
Um Gráfico para Facilitar o Cálculo,,80,13,,,,
Livros Publicados,A. Fanzeres,81,13,,,,
Oscilógrafo a Jato,,1,17,,,Siemens Oscillomink L,
Auxiliar de Ignição,,2,17,,BUY23A,,
Traçador de Curvas de Semicondutores,,4,17,,,,
"Registrador Múltiplo a 6 Cores ""Arucomp""",,9,17,,,Hartmann & Braun,
Pré e Controle de Tonalidade,G. N. Dale,10,17,,OC71,Fonte inglesa,
Boletim Técnico Informativo Icotron – Circuito PUMP,,12,17,,,Deflexão horizontal com fonte chaveada,
Oscilador de Frequência Intermediária,,15,17,,BC108,,
Pré-Amplificadores de Antenas,,16,17,,,"De ""Toute l'Électronique""",
Radiação da Terra Influenciada pelo Homem,,21,17,,,VLF; pesquisa de Robert A. Helliwell (Stanford),
"Um ""Cross-Over"" Totalmente Eletrônico",,22,17,,,,
Videoconferência,,24,17,,,CNET (França); visioconférence,
Que Grau de Precisão Tem o Seu Crono-Contador?,Don Beckman,27,17,,,Gould Advance Ltd.,
Comutador de Acercamento,,35,17,,TCA105,Siemens,
Metais Preciosos a Serviço da Eletrônica,,36,17,,,,
QSO Veterano,,38,17,,,Radioamadorismo; diretorias regionais do DENTEL,
Indicador Profissional,,39,17,,,Guia de firmas de componentes,
500 KM/Hora,,39,17,,,Siemens; trens de alta velocidade,
Livros,A. Fanzeres,40,17,,,,
Trabalhando com Fios Quentes,,41,17,,,Traje protetor RFD Ltd.,
Problemas Básicos de Eletrônica,,42,17,,,Continuação; resistências em série e paralelo,
Amplificadores Lineares de Radiofrequência,,44,17,,,,
Luz Psicodélica,,48,17,,,IDIM-KIT,
Aplicação da Óptico-Eletrônica,,50,17,,"µA741, BPX25",Adaptado de Elettronica Pratica,
Pequena Caixa Acústica,,54,17,,,,
Falante Amplificador,,55,17,,TAA300,Ibrape,
Compensador Automático de Ruído Ambiental,,58,17,,,,
QSO Veterano,,62,17,,,Continuação,
Reforçador Tonal para Guitarra,,63,17,,2N2924,,
Campainha Personalizada,,65,17,,"2N2646, BC207",,
Tabela de Conversão de Temperaturas,,67,17,,,,
A Lâmpada de Teste,,69,17,,,,
Fórmulas para Cálculos de Circuitos Elétricos,,72,17,,,,
Nova Aparelhagem Eletrônica para Traduzir os Prefixos Telefônicos Locais,,73,17,,,Pye TMC Ltd.; circuitos LSI/MOST,
PM 2513 – Alternativa Real para Medidas Analógicas,,75,17,,,Philips; multímetro digital,
Fios de Cobre Nu,,77,17,,,"Bitola, secção, peso e resistência ôhmica",
Feira Eletrônica,,79,17,,,Anúncios de leitores,
Trovão Dentro de Casa,,80,17,,,Siemens,
Faróis Precisos – Fator de Segurança,,80,17,,,GM Guide Lamp,
Livros,A. Fanzeres,81,17,,,,
Transmissor Portátil,,1,19,,,Svenska Radio AB,Maio
Medida de Precisão de Indutâncias,,2,19,,ECC82,,Maio
Maior Ganho para a Faixa do Cidadão,,5,19,,BF244,Pré-amplificador para 27 MHz,Maio
Transmissor/Oscilador Modulado,,6,19,,6SN7,,Maio
Circuitos com Fototransistores,,8,19,,,Componentes Ibrape/Philips; boletim Miniwatt,Maio
Amplificador de Baixo Nível de Ruído,,12,19,,,,Maio
Adaptador de Impedância,,14,19,,,,Maio
Prancheta de Prova,,15,19,,,Datatronix Eletrônica,Maio
Intervalador de Tempo Curto,,16,19,,,Publicado originalmente na revista Signalite,Maio
Rádio Relé,,18,19,,,Siemens; rádio-comunicação digital,Maio
Manual de Serviço Philips,,19,19,,,Amplificador,Maio
Selecções de Rádio – Avaria de TV,,26,19,,,,Maio
Cinescópios para TV em Branco e Preto,,28,19,,,Ibrape,Maio
Cinescópios para TV em Cores,,30,19,,,Ibrape,Maio
Equivalência de Circuitos Lineares Integrados,,32,19,,,Fairchild/Motorola/Texas/National,Maio
Boas Ferramentas,,33,19,,,Xcelite,Maio
Lista de Símbolos para Circuitos Integrados Lineares,,34,19,,,,Maio
Lista de Símbolos para Circuitos Integrados Digitais,,35,19,,,,Maio
Feira Eletrônica,,36,19,,,Anúncios de leitores,Maio
Rio Abre Baterias Contra a Poluição Sonora,,38,19,,,Entrevista; FEEMA,Maio
Livros,A. Fanzeres,40,19,,,,Maio
Osciloscópio Dynatech B5-50,,42,19,,,,Maio
"Painéis Luminosos com ""LED""",,43,19,,,,Maio
Problemas Básicos de Eletrônica,,44,19,,,Continuação,Maio
Calibrador de Osciloscópio,,48,19,,,,Maio
Receptor Reflexo,,50,19,,,,Maio
Amplificadores de RF com Componentes RC,,54,19,,,,Maio
Secção do Estudante – Ganhos e Impedâncias em Transistores,,55,19,,,,Maio
Tetrodo para UHF,,57,19,,RS 1034,Siemens,Maio
A Utilitária Neon,,59,19,,,Série sobre lâmpadas neon (Signalite),Maio
FI de Vídeo com TDA 2540/41,,64,19,,"TDA2540, TDA2541",,Maio
PM 3225/26 – Nova Concepção em Osciloscópio Compacto,,68,19,,,Philips,Maio
Boletim Técnico Informativo Icotron – TDB 0595,,70,19,,,,Maio
Transistores Profissionais que Não Brincam em Serviço,,72,19,,,,Maio
"Hi-Fi Front-Loader ""Cassette Deck""",,73,19,,,Akai; sistema Dolby,Maio
Temporizador Digital Universal Pextron,,74,19,,,,Maio
Aproveitamento da Energia Solar,,75,19,,,,Maio
Feira Eletrônica,,76,19,,,Anúncios de leitores,Maio
Livros,A. Fanzeres,79,19,,,,Maio
Indicador Profissional,,80,19,,,Guia de firmas de componentes,Maio
Platinado de Ouro,,1,22,,,"Divisão Motorcraft, Ford",Setembro
Problemas Básicos de Eletrônica,,2,22,,,Continuação; queda de voltagem e correntes em circuito complexo,Setembro
Fonte de Nove Volts,,6,22,,,,Setembro
Milivoltímetro com FET,,7,22,,,Datatronix / LABO / RPB Eletro-Eletrônica,Setembro
Pré Misturador,,10,22,,,,Setembro
Analisador de Imagens,,11,22,,,Quantimet 720 (Cambridge Instruments),Setembro
Analisador Dinâmico,,12,22,,,,Setembro
Localizador de Metais,,13,22,,,,Setembro
Chave Telegráfica Eletrônica,,14,22,,,,Setembro
Sistema de Controle Remoto,,15,22,,,Com transceptores da Faixa do Cidadão,Setembro
Sonda Radiotransmissora,,16,22,,,"""Flexiprobe"" (Electrolocation Limited)",Setembro
Separação de Estações,,17,22,,,Interferência Rádio Bonaire x Rádio MEC (800 kHz),Setembro
Amplificador Estereofônico 2 x 25W,,20,22,,,,Setembro
Estação de Satélite Portátil,,24,22,,,,Setembro
Nova Técnica Torna o Alumínio Soldável,Ron Ely,26,22,,,Centro de Pesquisas de Harwell,Setembro
A Eletrônica Aplicada ao Controle Rodoviário,,27,22,,,,Setembro
Criada Primeira Técnica para Programar Microcomputadores,,29,22,,,,Setembro
Sensores de Ar,,30,22,,,Sola Basic International; série LS,Setembro
Segurança,,31,22,,,Detector de Explosivos PD2,Setembro
Medidor Eletrônico,,32,22,,,"""Mekometer""; medição de distâncias",Setembro
MOS Substitui Cristal,,33,22,,S 187,Siemens; sintetizador,Setembro
Amplificador Darlington,,34,22,,,,Setembro
Tiristores para Frequências Acima de 50 Hz,,35,22,,,Siemens,Setembro
Comunicação com Cabo Coaxial,,36,22,,,"Caracas, Venezuela",Setembro
Registrador de Acontecimentos,,37,22,,,Siemens,Setembro
Indicador Profissional,,38,22,,,Guia de firmas de componentes,Setembro
Feira Eletrônica,,39,22,,,Anúncios de leitores,Setembro
Livros,A. Fanzeres,40,22,,,,Setembro
TV na Sala de Aula,,41,22,,,"Hessen, RFA",Setembro
Amplificador de Antena para VHF,,42,22,,TIS34,,Setembro
Melhoria para o Canal de Som na TV,,43,22,,,,Setembro
Instrumento Eletrônico de Regulagem Contínua,,44,22,,,Instrumento musical; oscilador em duplo T,Setembro
Teste de Isolação,,45,22,,,,Setembro
Capacitadores de Poliestireno,,47,22,,,Styroflex (Icotron); dados técnicos,Setembro
Equivalência de Circuitos Integrados,,70,22,,,RCA/Motorola/Texas/National,Setembro
Medição de Fração de Ohm,,72,22,,,,Setembro
Teste para Zener,,75,22,,,,Setembro
Multivibradores,,77,22,,,Tabela para cálculo da frequência,Setembro
Relação de Leitores Registrados no Cadastro,,78,22,,,,Setembro
Indicador Profissional,,79,22,,,Guia de firmas de componentes,Setembro
Livros,A. Fanzeres,80,22,,,,Setembro
Editorial,A. Fanzeres,1,28,,,,
O Cristal,,2,28,,"T413N, 7490N, BC207",Inclui provador de cristal,
Acelerômetro,,6,28,,,Aksjeselskapet Mikro-Elektronikk (Noruega),
"""Música"" Psicodélica",Arsênio Spadoni,7,28,,SN74L04,Rádio Eletrônica,
Pré-Amplificador para Fita,,14,28,,,,
Pré com 3 Entradas,,15,28,,µA741,,
