Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Os fios e os cabos,,9,1,Componentes,,,
Circuito impresso,,12,1,Montagem,,,
Transmissor sem fio,,18,1,Montagem,,,
As ferramentas necessárias,,29,2,Montagem,,,
A corrente elétrica,,32,2,Noções Teóricas,,,
Condutores e isolantes,,35,2,Noções Teóricas,,,
Dimmer,,36,2,Montagem,,,
O amperímetro,,45,2,Instrumentação,,,
Os resistores,,49,3,Componentes,,,
A escolha do soldador (1),,54,3,Montagem,,,
A intensidade da corrente elétrica,,57,3,Noções Teóricas,,,
Timer,,58,3,Montagem,,,
O voltímetro,,65,3,Instrumentação,,,
O capacitor,,69,4,Componentes,,,
A preparação dos componentes,,74,4,Montagem,,,
Os sinais elétricos,,76,4,Noções Teóricas,,,
A escolha do soldador (2),,77,4,Montagem,,,
A tensão elétrica ou voltagem,,78,4,Noções Teóricas,,,
O multímetro (1),,80,4,Instrumentação,,,
O transformador (1),,89,5,Componentes,,,
A soldagem: técnica e prática (1),,92,5,Montagem,,,
A resistência elétrica,,93,5,Noções Teóricas,,,
Amplificador estéreo de 48 W RMS,,95,5,Montagem,,,
O multímetro (2),,105,5,Instrumentação,,,
O transformador (2),,109,6,Componentes,,,
A soldagem: técnica e prática (2),,113,6,Montagem,,,
O circuito elétrico,,115,6,Noções Teóricas,,,
Rádio AM transistorizado,,116,6,Montagem,,,
Divisão de um aparelho por funções,,126,6,Instrumentação,,,
O diodo (1),,129,7,Componentes,,,
Os símbolos dos componentes,,133,7,Montagem,,,
Conversão da corrente alternada em contínua,,135,7,Noções Teóricas,,,
Fonte de alimentação,,137,7,Montagem,,,
O circuito de alimentação (1),,146,7,Instrumentação,,,
O diodo (2),,149,8,Componentes,,,
Os métodos para dessoldar (1),,153,8,Montagem,,,
A energia elétrica,,155,8,Noções Teóricas,,,
Dispositivo antifurto para carros,,156,8,Montagem,,,
O circuito de alimentação (2),,165,8,Instrumentação,,,
O transistor (1),,169,9,Componentes,,,
Os métodos para dessoldar (2),,173,9,Montagem,,,
A impedância,,175,9,Noções Teóricas,,,
Seqüencial de 4 canais,,176,9,Montagem,,,
O transistor como amplificador,,186,9,Instrumentação,,,
O transistor (2),,189,10,Componentes,,,
Construção dos circuitos impressos,,192,10,Componentes,,,
As válvulas,,195,10,Componentes,,,
Os tubos de raios catódicos: branco/preto e em cores,,199,10,Componentes,,,
Montagens em base comum e em coletor comum,,205,10,Instrumentação,,,
O transistor (3),,209,11,Componentes,,,
Cuidados com os componentes,,213,11,Montagem,,,
A geração dos sinais analógicos,,215,11,Noções Teóricas,,,
Amplificador estéreo de mesa,,216,11,Montagem,,,
Os amplificadores de vários estágios,,225,11,Instrumentação,,,
Resistores variáveis,,229,12,Componentes,,,
Dicas para preparar seu kit,,232,12,Montagem,,,
