Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Sinalizador de Intrusão,,8,1,,,,Fevereiro/2001
Monitor de Passagem Por Infravermelho,,8,1,,,,Fevereiro/2001
Carregador e Descarregador Automático Para Baterias de Nicad,,10,1,,,,Fevereiro/2001
Mike de Ganho,,10,1,,,,Fevereiro/2001
Porta Eletromecânica de Amostragem,,11,1,,,,Fevereiro/2001
Indicador de 3 Níveis Para Caixa D'água,,12,1,,,,Fevereiro/2001
Canais Negativos Para PX - Alan 100,,13,1,,,,Fevereiro/2001
Transmissor de FM Com Entrada Auxiliar,,14,1,,,,Fevereiro/2001
Super-Fonte Para Bancada: 0-13 V x 1 A com Proteção,,14,1,,,,Fevereiro/2001
Booster de FM Alimentado Via Cabo,,14,1,,,,Fevereiro/2001
Sentinela Som-Alerta,,15,1,,,,Fevereiro/2001
Transmissor Sintetizado PLL,,16,1,,,,Fevereiro/2001
Pisca-Alarme,,16,1,,,,Fevereiro/2001
Roleta Eletrônica,,18,1,,,,Fevereiro/2001
Gerador de Estéreo,,19,1,,,,Fevereiro/2001
Microfone em Amplificador de Potência de Carro,,21,1,,,,Fevereiro/2001
Dispositivo de Segurança para Automóvel,,21,1,,,,Fevereiro/2001
Pitch Control Para Duplo Tape Deck Com 2 Motores,,22,1,,,,Fevereiro/2001
Relógio Digital,,22,1,,,,Fevereiro/2001
Intercomunicador Usando Dois Aparelhos Telefônicos,,24,1,,,,Fevereiro/2001
Carregador para Baterias de Níquel-Cádmio,,25,1,,,,Fevereiro/2001
Conversor DC/DC,,25,1,,,,Fevereiro/2001
Bóia Eletrônica Para Caixas D'água,,26,1,,,,Fevereiro/2001
Amplificador de 130 W PMPO,,26,1,,,,Fevereiro/2001
Farol Automático Para Veículos,,28,1,,,,Fevereiro/2001
Microfone Com Disfarce de Voz,,29,1,,,,Fevereiro/2001
Timer Duplo,,29,1,,,,Fevereiro/2001
Luz Estroboscópica,,29,1,,,,Fevereiro/2001
Fonte Ajustável de 0-30 V x 2 A,,30,1,,,,Fevereiro/2001
Amplificador de 100 W rms,,30,1,,,,Fevereiro/2001
Transmissor de 120 W de Potência AM/OC,,31,1,,,,Fevereiro/2001
Secador de Mão,,32,1,,,,Fevereiro/2001
Proteção e Segurança Para os Alto-Falantes,,33,1,,,,Fevereiro/2001
Liga-Desliga Por Toque,,34,1,,,,Fevereiro/2001
Termostato Eletrônico,,35,1,,,,Fevereiro/2001
Teste Para Micro Lâmpadas,,35,1,,,,Fevereiro/2001
Dado Eletrônico,,36,1,,,,Fevereiro/2001
Campainha Musical Aleatória,,36,1,,,,Fevereiro/2001
