Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Como se faz um circuito,,1,0,,,,
O lugar de trabalho,,2,0,,,,
Identificar os componentes,,3,0,,,,
Sequência da montagem,,4,0,,,,
Preparar o soldador,,5,0,,,,
Soldar e dessoldar,,6,0,,,,
Truques do ofício,,7,0,,,,
Riscos e precauções,,8,0,,,,
Entender a eletrônica,,1,1,ANALÓGICA,,,
Eletrônica digital,,1,1,DIGITAL,,,
Filamentos e fios,,1,1,COMPONENTES,,,
Aplicações: a instalação doméstica,,1,1,APLICAÇÕES,,,
Metrônomo eletrônico,,1,1,PROJETOS,,,
Circuitos elétricos,,2,1,ANALÓGICA,,,
Verdadeiro e falso,,2,1,DIGITAL,,,
Dados técnicos,,2,1,COMPONENTES,,,
Segurança e proteções,,2,1,APLICAÇÕES,,,
Montagem do metrônomo,,2,1,PROJETOS,,,
Tensão e corrente,,3,1,ANALÓGICA,,,
Entrada e saída,,3,1,DIGITAL,,,
Interruptores,,3,1,COMPONENTES,,,
Os riscos da eletrônica,,3,1,FERRAMENTAS,,,
Unidades de medida,,4,1,ANALÓGICA,,,
Negado: NOT,,4,1,DIGITAL,,,
Características dos interruptores,,4,1,COMPONENTES,,,
Trabalhar com segurança,,4,1,FERRAMENTAS,,,
Circuito do metrônomo,,4,1,PROJETOS,,,
Resistência e resistores,,5,2,ANALÓGICA,,,
Um e o outro: AND,,5,2,DIGITAL,,,
Resistores,,5,2,COMPONENTES,,,
Eletrodomésticos que aquecem,,5,2,APLICAÇÕES,,,
Interruptor táctil,,5,2,PROJETOS,,,
Calcular a corrente,,6,2,ANALÓGICA,,,
AND como uma porta lógica,,6,2,DIGITAL,,,
Código de cores,,6,2,COMPONENTES,,,
Energia e consumo,,6,2,APLICAÇÕES,,,
Fabricação do circuito,,6,2,PROJETOS,,,
Potência elétrica,,7,2,ANALÓGICA,,,
Um ou o outro: OR,,7,2,DIGITAL,,,
Escala de valores,,7,2,COMPONENTES,,,
O multiteste,,7,2,FERRAMENTAS,,,
Resistências não desejadas,,8,2,ANALÓGICA,,,
Apenas um dos dois: XOR,,8,2,DIGITAL,,,
Limite das resistências,,8,2,COMPONENTES,,,
Os limites do multiteste,,8,2,FERRAMENTAS,,,
Funcionamento do comutador,,8,2,PROJETOS,,,
A corrente não sai pelos fios,,9,3,ANALÓGICA,,,
A lógica dos relés,,9,3,DIGITAL,,,
Potenciômetros,,9,3,COMPONENTES,,,
Máquinas de lavar roupa e louça,,9,3,APLICAÇÕES,,,
Megafone de dois canais,,9,3,PROJETOS,,,
Resistências em série,,10,3,ANALÓGICA,,,
NOT com um relé,,10,3,DIGITAL,,,
Características dos potenciômetros,,10,3,COMPONENTES,,,
Lógica eletromecânica,,10,3,APLICAÇÕES,,,
Realização de um megafone,,10,3,PROJETOS,,,
Resistências em paralelo,,11,3,ANALÓGICA,,,
AND e OR com os relés,,11,3,DIGITAL,,,
Relés,,11,3,COMPONENTES,,,
Adquirir os componentes,,11,3,FERRAMENTAS,,,
Entrada do microfone,,11,3,PROJETOS,,,
Divisores,,12,3,ANALÓGICA,,,
Um XOR de relés,,12,3,DIGITAL,,,
Escolher um relé,,12,3,COMPONENTES,,,
Equivalentes?,,12,3,FERRAMENTAS,,,
Funcionamento do megafone,,12,3,PROJETOS,,,
Corrente alternada,,13,4,ANALÓGICA,,,
Integrados digitais,,13,4,DIGITAL,,,
Microfones,,13,4,COMPONENTES,,,
Amplificadores de som,,13,4,APLICAÇÕES,,,
Iniciais que cintilam,,13,4,PROJETOS,,,
Valor da corrente alternada,,14,4,ANALÓGICA,,,
Níveis lógicos,,14,4,DIGITAL,,,
Alto-falantes,,14,4,COMPONENTES,,,
