Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
O que você precisa ter e saber,,3,1,,,,
Experiências para conhecer componentes,,13,1,,,,
Treme-treme,,22,1,,,,
O dedo duro,,26,1,,,,
Toque-luz,,32,1,,,,
VU e super som para radinhos,,37,1,,,,
Micro sirene para brinquedos,,42,1,,,,
Canta passarinho,,46,1,,,,
Simples transmissor de FM,,51,1,,,,
Receptor secreto,,58,1,,,,
O que você precisa saber,,3,2,,,,
Experiências para conhecer componentes,,11,2,,,,
Eletrólise,,18,2,,,,
Rádio de cristal,,26,2,,,,
Alarme de toque,,32,2,,,,
Controle remoto luminoso,,39,2,,,,
Olho eletrônico,,45,2,,,,
Senha,,51,2,,,,
A fábrica de ruídos,,57,2,,,,
O que você precisa saber,,3,3,,,,
Experiências para conhecer componentes,,13,3,,,,
Provador/medidor de componentes,,22,3,,,,
Amplificador de 5 watts,,29,3,,,,
Buzina cósmica,,36,3,,,,
Máquina de raios,,43,3,,,,
Alarme sem fio,,50,3,,,,
Pequeno rádio transistorizado,,57,3,,,,
Correio do leitor,,64,3,,,,
O que você precisa saber - Transmissor de FM (aprenda a fazer placas de circuito impresso),,2,5,,,,
Experiências para conhecer componentes,,9,5,,,,
Sinal e partida automáticos para autorama,,20,5,,,,
Provador de transistores,,26,5,,,,
Alarme psicológico,,31,5,,,,
Controle de tom e volume para amplificador,,35,5,,,,
Rejuvenescedor de pilhas,,41,5,,,,
Suavelux - para o quarto de dormir,,45,5,,,,
Detector de mentiras,,49,5,,,,
Reparador Junior,,55,5,,,,
Correio do leitor,,62,5,,,,
O que você precisa saber,,2,6,,,,
Experiências para conhecer componentes,,9,6,,,,
Tacômetro para autorama,,17,6,,,,
Toca-discos mágico,,23,6,,,,
Trêmulo mixer,,28,6,,,,
Construa um zumbidor,,38,6,,,,
Transmissor telegráfico de ondas curtas,,42,6,,,,
Rádio de 3 transistores,,50,6,,,,
Eletro-bancada de segurança,,57,6,,,,
Correio do leitor,,63,6,,,,
O que você precisa saber,,2,10,,,,
Experiência para professores de ciências,,9,10,,,,
Mini-rádio pessoal,,15,10,,,,
Experiência para conhecer componentes,,19,10,,,,
Inversor alternativo,,26,10,,,,
Arquivo Eletrônica Junior,,31,10,,,,
VU de leds,,36,10,,,,
Amplificador experimental,,44,10,,,,
Luz rítmica,,48,10,,,,
Seção dos clubes de eletrônica,,54,10,,,,
Correio do leitor,,62,10,,,,
Receptor de VHF,,2,13,,,,
Iniciação à informática - Numerador binário,,10,13,,,,
Códigos binários,,16,13,,,,
O que você precisa saber,,17,13,,,,
Experiências para conhecer componentes - Portas lógicas,,22,13,,,,
Sequencial neon,,30,13,,,,
Eletroestimulador - Massageador eletrônico,,34,13,,,,
Toc-som - Instrumento musical de brinquedo,,42,13,,,,
Aquecedor para plantas,,48,13,,,,
Detector de mentiras,,52,13,Miniprojetos,,,
Provador led,,54,13,Miniprojetos,,,
Farejador de RF,,55,13,Miniprojetos,,,
Correio do leitor,,57,13,,,,
Seção dos clubes,,61,13,,,,
Cobreando um objeto de ferro,,64,13,,,,
Luz rítmica de três canais,,2,14,,,,
O que você precisa saber - Os LDRs e fototransistores,,12,14,,,,
Transmissor secreto,,20,14,,,,
Experiências para conhecer componentes,,24,14,,,,
Rádio de dois transistores,,36,14,,,,
Seção dos clubes,,40,14,,,,
Correio do leitor,,44,14,,,,
Iniciação à informática - Display experimental,,48,14,,,,
Condutividade de soluções,,54,14,Miniprojetos,,,
Alarme I,,55,14,Miniprojetos,,,
Protetor dos inseguros,,57,14,Miniprojetos,,,
Disco de Newton,,59,14,,,,
Químico Jr. - Tinta invisível,,62,14,,,,
Controle remoto por raios infravermelhos,,2,15,,,,
Informática Jr. - Flip-flop experimental,,10,15,,,,
Olho eletrônico de FM,,14,15,,,,
Construa um fone,,20,15,,,,
O que você precisa saber - O SCR,,26,15,,,,
Experiências para conhecer componentes,,32,15,,,,
Desafio de paciência,,41,15,,,,
Ciência Jr. - Ressonância,,46,15,,,,
Rádio a cristal,,50,15,Miniprojetos,,,
Reforçador de sinais,,51,15,Miniprojetos,,,
Caixa de resistências,,53,15,Miniprojetos,,,
Seção dos clubes,,55,15,,,,
Correio do leitor,,61,15,,,,
"Rádio alimentado a água e sal, batata, terra ou laranja",,2,16,,,,
O que você precisa saber - O fantástico raio laser,,11,16,,,,
Informática Jr. - Memória experimental,,20,16,,,,
Conversor para 11 metros,,24,16,,,,
Ciência Jr. - Gerador alternativo,,32,16,,,,
Pinga-pinga maluco,,37,16,,,,
Correio do leitor,,42,16,,,,
Seção dos clubes,,46,16,,,,
