Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Reforçador de som para carro,,5,3,,,,1978
Conversor de ondas curtas,,17,3,,,,1978
Pequeno transmissor de ondas curtas,,26,3,,,,1978
O jogo de travessia,,36,3,,,,1978
Interfone de brinquedo,,49,3,,,,1978
Divisor de frequência para caixa acústica,,56,3,,,,1978
Rádio sem pilhas e sem transistores,,64,3,,,,1978
Sensor eletrônico,,73,3,,,,1978
Mata-moscas eletrônico,,88,3,,,,1978
Luzes estéreo-stroborrítmicas,,7,4,,,,1979
Luz rítmica de 3 canais,,31,4,,,,1979
Central de efeitos sonoros,,49,4,,,,1979
Estéreo sirene de múltiplos efeitos,,64,4,,,,1979
Ligação de TV e FM na mesma antena,,81,4,,,,1979
Mixer de 4 canais,,83,4,,,,1979
Camping-som,,98,4,,,,1979
Pré-amplificador universal,,106,4,,,,1979
Amplificador de 7 potências,,116,4,,,,1979
3 jogos simples para o principiante,,7,5,,,,1979
Corrida eletrônica do ôvo,,26,5,,,,1979
Desarme a bomba,,40,5,,,,1979
Roleta russa,,64,5,,,,1979
Gatilho rápido,,83,5,,,,1979
Sorteador eletrônico,,106,5,,,,1979
Equalizador para o carro,,5,6,,,,1980
Móbile rítmico,,23,6,,,,1980
Som de mar eletrônico,,41,6,,,,1980
Fonte especial para amplificadores,,63,6,,,,1980
Sistema trifônico simples,,73,6,,,,1980
Sirene foto-rítmica modulada,,88,6,,,,1980
Foto vibrato,,109,6,,,,1980
Divisor de frequências com controle de agudos para o carro,,7,7,,,,1980
Adaptador para fones com controles especiais,,20,7,,,,1980
LEDs rítmicos,,31,7,,,,1980
Econômica luz estroboscópica,,47,7,,,,1980
Fonte para toca-fitas e auto-rádios,,61,7,,,,1980
Bola-ao-cesto eletrônico,,73,7,,,,1980
O vibratom,,90,7,,,,1980
Receptor sensível de ondas médias e curtas,,104,7,,,,1980
Campainha eletrônica,,117,7,,,,1980
Grilo eletrônico,,7,8,,,,1981
Metralhadora eletrônica,,20,8,,,,1981
Lâmpada mágica,,32,8,,,,1981
Luz bruxuleante hipnótica,,45,8,,,,1981
Excitador de nervos,,60,8,,,,1981
Mini metrônomo áudio-visual,,73,8,,,,1981
Rádio de simples construção,,81,8,,,,1981
Intercomunicador simples,,98,8,,,,1981
Servo alarme de luz-calor-umidade,,110,8,,,,1981
Passarinho despertador,,7,9,,,,1981
Espanta - cachorro eletrônico,,23,9,,,,1981
Órgão eletrônico de brinquedo,,35,9,,,,1981
Detector de mentiras,,53,9,,,,1981
Toque mágico,,65,9,,,,1981
Pesquisador de energia,,79,9,,,,1981
Mini dimmer para luz de cabeceira,,95,9,,,,1981
LEDs rítmicos para o carro,,105,9,,,,1981
Medidor de aceleração para o carro,,117,9,,,,1981
Rádio timer,,9,10,,,,1982
Mini laboratório de experiências,,19,10,,,,1982
Mini timer,,39,10,,,,1982
Rádio com fonte experimental,,49,10,,,,1982
Caixinha de fazer loucos,,63,10,,,,1982
Transmissor de FM integrado,,77,10,,,,1982
Loteria esportiva eletrônica,,95,10,,,,1982
Indutor de sono,,107,10,,,,1982
Velo-vento,,117,10,,,,1982
Bio excitador,,7,11,,,,1982
Alerta - peixe no anzol,,26,11,,,,1982
Toque rápido,,37,11,,,,1982
Os sons misteriosos da terra,,48,11,,,,1982
Bom-som - rádio integrado,,63,11,,,,1982
Ultra simples detector de metais,,76,11,,,,1982
A caixa do choque,,89,11,,,,1982
Acerte-o-par,,99,11,,,,1982
Mini órgão com vibrato,,111,11,,,,1982
Realejo eletrônico,,5,12,,,,1983
Opto-comunicador telegráfico experimental,,19,12,,,,1983
O submarino perdido,,39,12,,,,1983
Radar eletroscópio,,53,12,,,,1983
Luz de tempo,,67,12,,,,1983
Oficina experimental,,77,12,,,,1983
Alarme portátil multi-uso,,94,12,,,,1983
Abajur maluco,,106,12,,,,1983
Moto-sirene de brinquedo,,119,12,,,,1983
Desafio de paciência,,7,Especial I,,,,1998
Display experimental,,11,Especial I,,,,1998
Construa um fone,,16,Especial I,,,,1998
Olho eletrônico de FM,,21,Especial I,,,,1998
Flip-flop experimental,,27,Especial I,,,,1998
Aperto de mão chocante,,31,Especial I,,,,1998
Inversor alternativo,,36,Especial I,,,,1998
Experiências para professores de ciências,,41,Especial I,,,,1998
Amplificador experimental,,47,Especial I,,,,1998
Luz rítmica,,51,Especial I,,,,1998
Experiência com ímã - levitação magnética,,57,Especial I,,,,1998
Receptor de VHF,,59,Especial I,,,,1998
Controle remoto por raios infravermelhos,,67,Especial I,,,,1998
Receptor secreto II,,73,Especial I,,,,1998
Super transmissor (com material de sucata),,79,Especial I,,,,1998
Fonte para bancada,,91,Especial I,,,,1998
Zumbidor de corrente alternada,,99,Especial I,,,,1998
Rádio a cristal,,104,Especial I,Miniprojetos,,,1998
Reforçador de sinais,,105,Especial I,Miniprojetos,,,1998
Caixa de resistências,,107,Especial I,Miniprojetos,,,1998
Pilão magnético,,109,Especial I,Miniprojetos,,,1998
Metralhadora com relé,,110,Especial I,Miniprojetos,,,1998
O mais simples dos provadores,,112,Especial I,Miniprojetos,,,1998
Pinga-pinga maluco,,114,Especial I,Miniprojetos,,,1998
Memória experimental,,119,Especial I,Miniprojetos,,,1998
Condutividade de soluções,,123,Especial I,Miniprojetos,,,1998
Alarme I,,124,Especial I,Miniprojetos,,,1998
