Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Prefácio,A. Fanzeres,1,1,,,"Edição especial: monografia ""Conheça e Aplique o Multiteste VOM"", orientação de A. Fanzeres; exemplos baseados no multiteste Engro 462",
Capítulo 1 – O Multiteste VOM,A. Fanzeres,2,1,,,,
Capítulo 2 – Medição de Resistência,A. Fanzeres,8,1,,,,
Medição de Voltagem Contínua,A. Fanzeres,9,1,,,,
Medição de Voltagem Alternada,A. Fanzeres,10,1,,,,
Medição de Corrente Contínua,A. Fanzeres,10,1,,,,
Capítulo 3 – A Escolha do VOM,A. Fanzeres,11,1,,,,
Capítulo 4 – Aplicações do VOM,A. Fanzeres,13,1,,,,
Apêndice – Descrição do VOM Engro 462,,25,1,,,Reproduz descrição e esquema do fabricante Instrumentos Elétricos Engro S.A.,
Editorial,A. Fanzeres,1,2,,,,
A Tecnologia na Assistência ao Deficiente Auditivo,Prof. Apollon Fanzeres,1,2,,,"Reproduzido da revista Educação (MEC), ano 4, nº 15",
Vibrato e Super Agudo para Guitarra,,6,2,,,,
Amplificador para Telefone,,8,2,,,,
Amplificador de 1 W.,,13,2,,,,
Alto-Falantes,,14,2,,,,
Gerador de Frequência Fixa,,22,2,,,,
As Resistências com Coeficiente de Temperatura Negativo (Termistências N.T.C.),,24,2,,,,
Potência Musical,,29,2,,,,
Pré-Amplificador de Hi-Fi,,30,2,,,,
Amplificador de Hi-Fi – 20 W.,,34,2,,,,
Uau-Uau para Guitarra Elétrica,,38,2,,,,
Diodos para Sinal e Retificação,,42,2,,,Divulgação Ibrape,
Gerador de Dente de Serra,,44,2,,,,
Estudo das Vibrações Mecânicas,,46,2,,,,
Nova Aparelhagem Electrónica para Traduzir os Prefixos Telefónicos Locais,,52,2,,,,
"Controle de ""Loudness""",,55,2,,,,
Timbre Eletrônico,,57,2,,,,
"Perda Auditiva, Perda Comunitária",Professor Apollon Fanzeres,58,2,,,Reproduzido da revista Acústica em Foco,
Marca-Passo Uruguaio,,1,6,,,Nota de capa interna,
Ponte Retificadora Motorola,,1,6,,,Nossa capa; divulgação Motorola,
Sistema Anik,,1,6,,,Divulgação; satélites de comunicação do Canadá (Hughes Aircraft),
Editorial,A. Fanzeres,1,6,,,,
Ibrape Informa,,2,6,,,,
Injetor de Sinal,,3,6,,,,
Circuito Integrado Linear Raytheon,,4,6,,,Divulgação; CI Raytheon 4195,
Tiristores – Maneiras de Desligá-los,,6,6,,,,
Amplificador de Áudio de 10 W,,11,6,,,,
Circuito Linear Integrado,,14,6,,,Divulgação; CI SGS-ATES para saída vertical de TV,
Construa Seu Gabinete Acústico,,16,6,,,Instruções da Eletrônica Selenium para as caixas dos alto-falantes de 12 e 15 W,
"Amplificador com Entrada de Alto ""Z""",,17,6,,,,
Calculadora para Engenharia,,18,6,,,Divulgação Keithley Instruments,
Lâmpadas para Iluminação de Painéis de Instrumentos e Interiores,,19,6,,,Divulgação (Osram/IEC),
Circuitos,,20,6,,,Esquema completo de receptor transistorizado de ondas médias e curtas,
Interruptor Crepuscular,,22,6,,,IDIM-Kit 02,
Codificação de Semicondutores Philco,,28,6,,,Divulgação; continuação da edição nº 4,
Temporizador para Limpador de Pára-Brisa,,33,6,,,IDIM-Kit; 12 V,
Cartas,,39,6,,,,
Livros,A. Fanzeres,40,6,,,,
Feira Eletrônica,,41,6,,,,
