Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Aplic. do MOS Em Potências Elevadas ( V-MOS ),,5 ,1 ,,,,02/77
Bio Realimentação,,12 ,1 ,,,,02/77
Programação de Microcomputadores I,,16 ,1 ,,,,02/77
Tacômetro Digital de Precisão I,,23 ,1 ,,,,02/77
Sons Diferentes Nos Conj. Musicais,,28 ,1 ,,,,02/77
Sintetizador Sustainer,,38 ,1 ,,,,02/77
Temporizador Programável Digital I,,48 ,1 ,,,,02/77
Bargraph,,57 ,1 ,,,,02/77
Multímetro Digital de 3½ Dígitos I,,60 ,1 ,,,,02/77
Sirene Eletrônica,,67 ,1 ,,,,02/77
Amplificadores de 20 a 60 W C/ Darlington,,69 ,1 ,,,,02/77
Display FND357 e FND367,,74 ,1 ,,,,02/77
Display FND500 e FND507,,77 ,1 ,,,,02/77
Regulador de Tensão SHO323,,80 ,1 ,,,,02/77
Luzes Psicodélicas,,114 ,2 ,,,,03/77
Prescaler ECL,,129 ,2 ,,,,03/77
Transistores de Efeito de Campo I,,135 ,2 ,,,,03/77
Curso de Audio I,,142 ,2 ,,,,03/77
Display FCS8000 e FCS8024,,150 ,2 ,,,,03/77
Amplificador de Pot. c/ CI TBA810AS,,152 ,2 ,,,,03/77
Tacômetro Digital de Precisão II,,158 ,2 ,,,,03/77
Temporizador Programável Digital II,,170 ,2 ,,,,03/77
Multímetro Digital de 3½ Dígitos II,,178 ,2 ,,,,03/77
Medidor de Níveis Lógicos Plenoprobe,,195 ,2 ,,,,03/77
Programação de Microcomputadores II,,202 ,2 ,,,,03/77
UART CI p/ Transmis./Recep. de Dados,,215 ,2 ,,,,03/77
Alarme Ultra Sônico,,258 ,3 ,,,,04/77
Conheça os Diodos P/ RF,,279 ,3 ,,,,04/77
Display c/ Ch. Rotat. e Matriz de Diodos I,,282 ,3 ,,,,04/77
CCD Sensores de Imagem,,284 ,3 ,,,,04/77
Sintetizador PHASER,,288 ,3 ,,,,04/77
Curso de Audio  II,,302 ,3 ,,,,04/77
Intercomunicador Transistorizado ( c/ Fio ),,310 ,3 ,,,,04/77
Fonte de Corrente Constante F E T,,324 ,3 ,,,,04/77
Transistores de Efeito de Campo II,,328 ,3 ,,,,04/77
Contador Ampliável de 1 Dígito,,334 ,3 ,,,,04/77
Display FND560 e FND567,,340 ,3 ,,,,04/77
Choque Elétrico: Efeitos No Ser Humano,,342 ,3 ,,,,04/77
Fonte de Tensão Estabilizada 5V x 1A,,344 ,3 ,,,,04/77
Oscilador c/ ½ Hex Inverter,,348 ,3 ,,,,04/77
Oscilador de Relaxação c/ Foto Acoplador,,348 ,3 ,,,,04/77
Programação de Microcomputadores III,,350 ,3 ,,,,04/77
Reguladores de Tensão Série 7800,,374 ,3 ,,,,04/77
Lógica I²L,,434 ,4 ,,,,05/77
Curso de Audio  III,,440 ,4 ,,,,05/77
Display FND800 e FND870,,448 ,4 ,,,,05/77
Tabela de Equiv. de Foto Produtos,,449 ,4 ,,,,05/77
Transistores de Efeito de Campo III,,456 ,4 ,,,,05/77
Microprocessador CP1600,,460 ,4 ,,,,05/77
Simulação Eletr. da Voz Humana,,466 ,4 ,,,,05/77
Terminal de Vídeo TTV3216 I,,478 ,4 ,,,,05/77
Programação de Microcomputadores IV,,488 ,4 ,,,,05/77
Conversores Análogo Digitais,,500 ,4 ,,,,05/77
Frequencímetro Digital I,,510 ,4 ,,,,05/77
Darlingtons de Potência SE9300 e SE9400,,570 ,5 ,,,,06/77
Transistores 2N6121 a 2N6126,,571 ,5 ,,,,06/77
Transistores 2N6129 a 2N6134,,572 ,5 ,,,,06/77
As Lógicas se Confrontam,,578 ,5 ,,,,06/77
MOS TIME - Um Relógio de Mesa ( 3817 ),,584 ,5 ,,,,06/77
Frequencímetro Digital II,,592 ,5 ,,,,06/77
TTL p/ Dividir Freqüência,,604 ,5 ,,,,06/77
Terminal de Vídeo TTV3216 II,,612 ,5 ,,,,06/77
Programação de Microcomputadores V,,622 ,5 ,,,,06/77
Chegou a Hora de Falar,,634 ,5 ,,,,06/77
Grav. Magnética nos Computadores I,,644 ,5 ,,,,06/77
Crossover c/ Apenas Um Transistor,,721 ,6 ,,,,07/77
Diodos de (Si) Estabilizam Oscilador,,721 ,6 ,,,,07/77
Theremim (Produz Efeitos Sonoros),,722 ,6 ,,,,07/77
Curso de Audio  V,,728 ,6 ,,,,07/77
O Sintetizador,,737 ,6 ,,,,07/77
Frequencímetro (Melhorando O...),,738 ,6 ,,,,07/77
Oscilador Padrão a Cristal,,748 ,6 ,,,,07/77
Strobo,,764 ,6 ,,,,07/77
Programação de Microcomputadores VI,,772 ,6 ,,,,07/77
Terminal de Vídeo TTV3216 III,,782 ,6 ,,,,07/77
Grav. Magnética nos Computadores II,,792 ,6 ,,,,07/77
Os Displays Digitais,,46 ,7 ,,,,08/77
Multiv. One Shot c/ Larg. de Pulso Prog.,,54 ,7 ,,,,08/77
Rede LC Contr. Discriminador Sinton.,,55 ,7 ,,,,08/77
Curso de Audio  VI,,58 ,7 ,,,,08/77
Por Dentro do Transistor,,66 ,7 ,,,,08/77
Programação de Microcomputadores VII,,74 ,7 ,,,,08/77
Curso de Técnicas Digitais  I,,80 ,7 ,,,,08/77
Terminal de Vídeo TTV3216 IV,,84 ,7 ,,,,08/77
Voltímetro Digital c/ Time Shared,,131 ,8 ,,,,09/77
O Tiristor na Indústria II,,134 ,8 ,,,,09/77
Transmissão de AM e FM,,142 ,8 ,,,,09/77
Curso de Técnicas Digitais  II,,148 ,8 ,,,,09/77
741 c/ Alta Tensão de Alimentação,,159 ,8 ,,,,09/77
Oscilador de Onda Quadrada ( 7413 ),,159 ,8 ,,,,09/77
Displays Digitais de Difusão Pelo Ar,,160 ,8 ,,,,09/77
Sintetiz. Dig. em Rádios Faixa Do Cidadão,,162 ,8 ,,,,09/77
Dobrador de Freq. P/ Guitarras,,168 ,8 ,,,,09/77
Tudo Sob Contrôle ( Dimmer ),,174 ,8 ,,,,09/77
Pássaro Eletrônico,,179 ,8 ,,,,09/77
Relógio Digital p/ Automóveis I,,186 ,8 ,,,,09/77
Anatomia de Uma FIFO,,194 ,8 ,,,,09/77
Programação de Microcomputadores VIII,,198 ,8 ,,,,09/77
Transistores da Série TIP,,202 ,8 ,,,,09/77
Parâmetros dos Ampl. Operacionais II,,206 ,8 ,,,,09/77
Curso de Audio  VII,,213 ,8 ,,,,09/77
Carregador de Baterias,,268 ,9 ,,,,11/77
Reflexômetro: O Joguinho,,274 ,9 ,,,,11/77
Repelin: Repelente Eletrônico,,281 ,9 ,,,,11/77
Fibras Óticas nas Comunicações I,,288 ,9 ,,,,11/77
Estroboscópio e Suas Aplicações,,292 ,9 ,,,,11/77
Capacitores Cerâmicos no Brasil,,297 ,9 ,,,,11/77
O Tiristor na Indústria III,,302 ,9 ,,,,11/77
Como Ler Corretamente o VU Meter,,307 ,9 ,,,,11/77
Filtro p/ Rumble / Reforçador de Graves,,310 ,9 ,,,,11/77
Acopladores Ópticos,,314 ,9 ,,,,11/77
As Chaves e os Circuitos Digitais,,318 ,9 ,,,,11/77
Parâmetros dos Ampl. Operacionais III,,320 ,9 ,,,,11/77
Maior Desempenho dos CI s LSII,,323 ,9 ,,,,11/77
O Disquete,,328 ,9 ,,,,11/77
UV Eprom : Memória Renovável,,333 ,9 ,,,,11/77
Curso de Técnicas Digitais  III,,339 ,9 ,,,,11/77
Curso de Audio  VIII,,348 ,9 ,,,,11/77
UA2240 Cont.de Tempo Programável,,354 ,9 ,,,,11/77
UA0801 C e UA0802 A/C Conv. Digitais / Anal.,,355 ,9 ,,,,11/77
Mini Órgão Eletrônico,,392 ,10 ,,,,12/77
Multímetros Analógicos,,398 ,10 ,,,,12/77
Amplificadores c/ TDA2010 e TDA2020,,402 ,10 ,,,,12/77
Relações Sinal / Ruído,,406 ,10 ,,,,12/77
O Tiristor na Indústria IV,,410 ,10 ,,,,12/77
Supressão dos Transientes de Tensão,,413 ,10 ,,,,12/77
Fibras Óticas nas Comunicações II,,418 ,10 ,,,,12/77
Capacitores de Tântalo,,421 ,10 ,,,,12/77
Fitas Magnéticas ( Fabricação ) I,,425 ,10 ,,,,12/77
Módulos de Relógios Digitais,,431 ,10 ,,,,12/77
Maior Desempenho dos C I s L S I II,,437 ,10 ,,,,12/77
O Que São as B U L K Memories,,446 ,10 ,,,,12/77
Linguagens de Programação I,,451 ,10 ,,,,12/77
8080 Um Novo Caminho Aberto,,454 ,10 ,,,,12/77
Curso de Técnicas Digitais  IV,,459 ,10 ,,,,12/77
Curso de Audio IX,,472 ,10 ,,,,12/77
FPA100 / 101 / 102 ( Emissor / Recep. I R ),,479 ,10 ,,,,12/77
Dobrador de Tensão 12 V p/ 24 V X 1 A,,527 ,11 ,,,,01/78
Fonte c/ Baixa Corrente de Repouso,,530 ,11 ,,,,01/78
Ponta de Prova Lógica Simples,,530 ,11 ,,,,01/78
Distorção por Intermodulação,,531 ,11 ,,,,01/78
Visita a Uma Fabr. de Transistores,,539 ,11 ,,,,01/78
Equivalência Entre Integrados I,,546 ,11 ,,,,01/78
Fitas Magnéticas ( Fabricação ) II,,553 ,11 ,,,,01/78
No Mundo da Faixa do Cidadão,,556 ,11 ,,,,01/78
Maior Desempenho dos CI s LSI III,,565 ,11 ,,,,01/78
Conhecendo Melhor as Memórias,,577 ,11 ,,,,01/78
Linguagens de Programação II,,581 ,11 ,,,,01/78
Curso de Semicondutores   I,,585 ,11 ,,,,01/78
Curso de Técnicas Digitais  V,,593 ,11 ,,,,01/78
Curso de Audio X,,598 ,11 ,,,,01/78
Medidor Audível de Luz,,658 ,12 ,,,,02/78
Aproveitamento da Energia Solar,,660 ,12 ,,,,02/78
Laser: Uma Forma Diferente De Luz,,666 ,12 ,,,,02/78
Amplificador Controlado por Tensão,,672 ,12 ,,,,02/78
Referência p/ Afinação de Guitarras,,672 ,12 ,,,,02/78
"Radioastronomia , Essa Misteriosa I",,673 ,12 ,,,,02/78
Equivalência Entre Integrados II,,682 ,12 ,,,,02/78
Captador Mag. p/ Tacômetro Digital,,687 ,12 ,,,,02/78
Princípios Básicos dos Toca - Discos,,689 ,12 ,,,,02/78
Decibéis Simplificados,,698 ,12 ,,,,02/78
Antena Direcional p/ 144 Mhz,,705 ,12 ,,,,02/78
Problema das Ondas Estacionárias,,711 ,12 ,,,,02/78
Ionosfera e a Reflexão das Ondas,,715 ,12 ,,,,02/78
Filtros Mecânicos p/ Seletividade,,719 ,12 ,,,,02/78
Maior Desempenho dos C I s L S I IV,,725 ,12 ,,,,02/78
Bits por Segundo e Baud,,736 ,12 ,,,,02/78
Curso de Linguagens BASIC I,,738 ,12 ,,,,02/78
Curso de Semicondutores   II,,741 ,12 ,,,,02/78
Curso de Técnicas Digitais  VI,,747 ,12 ,,,,02/78
Decodificador Quadrif. CBS / SQ  UA 1312,,752 ,12 ,,,,02/78
Prot. p/ Trans. Contra Tensões Altas,,40 ,13 ,,,,03/78
Dobrador de Freqüências 1 Hz a 12 Mhz,,40 ,13 ,,,,03/78
Optoeletrônica Um Novo Campo,,41 ,13 ,,,,03/78
"Radioastronomia , Essa Misteriosa II",,53 ,13 ,,,,03/78
Soluções p/ Interferência de R F,,57 ,13 ,,,,03/78
Prev. do Alcance p/ Faixa do Cidadão,,64 ,13 ,,,,03/78
Moduladores Delta em CIs I,,68 ,13 ,,,,03/78
Anatomia de Um Micro - Computador,,75 ,13 ,,,,03/78
Curso de Linguagens BASIC II,,83 ,13 ,,,,03/78
Curso de Técnicas Digitais  VII,,86 ,13 ,,,,03/78
