Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Editorial,,1,65,,,,Julho 2005
Nikola Tesla,,2,65,,,Objeto eletrônico de decoração (bobina de Tesla),Julho 2005
Prova simulada de radioeletricidade,,3,65,,,Questões de estudo para o exame de radioamador,Julho 2005
Prova simulada de legislação,,4,65,,,Questões sobre a Licença de Estação de Radioamador (LER),Julho 2005
Conheça seus colegas,,5,65,,,Apresentação de PU1-LFH,Julho 2005
Cantinho das Siglas,PY1-TEW (Marli),6,65,,,,Julho 2005
Ética operacional: recomendações de conduta,,7,65,,,Prioridade a QTC/SOS na QRG,Julho 2005
Brincando e Ferramentando: Herculino,PY2LTP (Hércules),8,65,,,,Julho 2005
O radioamadorismo daqui a dez anos,,1,66,,,Editorial,Agosto 2005
Expedições e DX,,2,66,,,,Agosto 2005
Comentário de questão da prova simulada,,3,66,,,Comprimento físico x elétrico de antena,Agosto 2005
Prova simulada de legislação: Código Q,,4,66,,,,Agosto 2005
Encontro do Pesqueiro dos Campos,PY2-WR (Faris),6,66,,,"Homenagem ao PY2-ENY; 22/05/2005, Iperó",Agosto 2005
Aniversariante do mês,,7,66,,,,Agosto 2005
O ÔCODINO,Amer J. Feres (PY2-DJW),8,66,,,Receptor regenerativo valvulado; detalhes das bobinas na pág. 5,Agosto 2005
Editorial,,1,68,,,Sobre a Norma 31/94,Outubro 2005
Tributo ao Padre Cientista Roberto Landell de Moura,,2,68,,,Continuação da edição anterior,Outubro 2005
Sociais: aniversariantes do mês,,2,68,,,,Outubro 2005
"Comentários da prova simulada de radioeletricidade nº 04, parte B",,3,68,,,Continua nas págs. 4-5; leis de Kirchhoff,Outubro 2005
Prova de radioeletricidade da Norma 31/96,,6,68,,,,Outubro 2005
Pequeno Inversor,,7,68,,,Inversor de 6 a 12 V para lâmpada fluorescente pequena,Outubro 2005
Cantinho das Saudades: Prof. João Luiz de Almeida (PY2NLA),,7,68,,,,Outubro 2005
Brincando e Ferramentando: O Orelhão - pré-seletor,PY2-LTP,8,68,,,Pré-seletor de RF com ganho de 45 dB,Outubro 2005
Roger,Walther (PY2-KOG),1,92,,,"Crônica de abertura, sobre envelhecer",Maio 2009
Os que contribuíram com a nossa história: James Watt,Walter (PY2-KOG),2,92,,,,Maio 2009
"Radioeletricidade - teste de avaliação, aula nº 01",,3,92,,,,Maio 2009
"Legislação de telecomunicações - teste de avaliação, aula nº 01",,4,92,,,,Maio 2009
"Técnica e ética operacional - teste de avaliação, aula nº 01",,5,92,,,,Maio 2009
Cantinho das YLs: como me tornei radioamadora,PP5-ASN (Alda Niemeyer),6,92,,,,Maio 2009
Grêmio de Radioamadores da Rodada - Encontro de Amigos,PY2GEA,7,92,,,,Maio 2009
Ser um radioamador,,8,92,,,Regulamentação pela Norma 31/94,Maio 2009
