Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
O que é radioamadorismo? O que é Faixa do Cidadão? Diferenças,,6,1,,,,
Como estão os serviços radioamadorísticos?,,8,1,,,,
Regulamento do Serviço de Radioamador,,10,1,,,,
Conteste para Junho e Julho,,17,1,,,,
Tipos de emissão,,20,1,,,,
Ética operacional,,21,1,,,,
Antenas,,23,1,,,,
Log Book,,25,1,,,,
Kenwood TM-V7A 146/440 MHz FM,,26,1,,,,
Lista do DXCC,,28,1,,,,
Nota – Rádio homologados,,37,1,,,,
"Acontecimentos, CRAPE",,52,1,,,,
Expedições – Jacutinga,,53,1,,,,
"Expedições – Rochedos, Nova BBS em Brasília",,54,1,,,,
"QSL Yugoslávia, crítica aos dez metros",,55,1,,,,
Crítica aos doze metros,,57,1,,,,
Rádio Pacote,,60,1,,,,
