Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Editorial,,2,1,,,,Julho de 1984
Transmissor de FM,Laboratório Rádio e Eletrônica,3,1,,,"Microfone sem fio na faixa de FM, alcance de até 150 m",Julho de 1984
Interruptor de Toque,,10,1,,,Interruptor de toque de estado sólido,Julho de 1984
"O ""Frio"" Jogo da Roleta Russa",Aquilino R. Leal,15,1,,,Versão CMOS com dois circuitos integrados,Julho de 1984
Conhecendo o Multímetro,Josir Cavalcanti,22,1,,,,Julho de 1984
Versátil Fonte de Alimentação para o Aficionado,Aquilino R. Leal,29,1,,,,Julho de 1984
Como Confeccionar Placas de Fiação Impressa,Aquilino R. Leal,36,1,,,,Julho de 1984
Cara-ou-Coroa Viciado,Erich A. Pfeiffer,42,1,,,Seleção de probabilidades,Julho de 1984
Lâmpadas Dançantes,,46,1,,,,Julho de 1984
Capacímetro Simples,,51,1,,,,Julho de 1984
Provador Dinâmico de Transistores,J. Martin,53,1,,,,Julho de 1984
Antena de Quadro,Apollon Fanzeres,58,1,,,,Julho de 1984
Testador de Cristal,Francisco Bezerra Filho,60,1,,,,Julho de 1984
Comp-Test,,65,1,,,Provador eletrônico de componentes,Julho de 1984
Informativo Industrial,,70,1,,,,Julho de 1984
Semáforo para Trens em Miniatura,Aquilino R. Leal,71,1,,,Simula um sinal luminoso com três cores por técnica digital,Julho de 1984
Monte Sua Própria Caixa Acústica de Excelente Qualidade,,2,2,,,Projetos com o sistema D.O.S. da Novik,1984
Toque Rápido,,11,2,,,Juiz eletrônico de reflexos,1984
Problemas Básicos de Eletrônica: circuitos simples de corrente contínua,,16,2,,,Lei de Ohm,1984
Conheça Melhor o Ohmímetro,,19,2,,,,1984
Idéias & Dicas: utilizando o CI 555 como um disparador de Schmitt,Aquilino R. Leal,23,2,,,,1984
"Novos Conceitos em Som: três energias, dois canais, impedância constante",José Antonio Hernando Perez,26,2,,,,1984
"Provador Lógico ""BB"" para Circuitos Integrados TTL",,33,2,,,,1984
Sirene Manual,,36,2,,,,1984
Luz Rítmica de Um Canal,,40,2,,,,1984
Saiba Escolher e Dimensionar Antenas para TV e FM,,46,2,,,,1984
Traçador de Sinais Compacto,Josir Cavalcanti,54,2,,,,1984
Idéia para Uma Campainha Musical Eletrônica - Parte I,Aquilino R. Leal,60,2,,,,1984
Sons Audíveis e Inaudíveis,J. Martin,67,2,,,,1984
PY-PX: a história dos 5 metros,A. Fanzeres,68,2,,,,1984
Como Provar um SCR,Laboratório Rádio e Eletrônica,69,2,,,Grupo 106 (MCR106 etc.),1984
Filtro Separador para Seu Sistema de Som,,70,2,,,Acréscimo de tweeter,1984
Comutador de Potência de Onda Completa com SCRs,,74,2,,,Cargas de até 400 W em 110 V e 800 W em 220 V,1984
Informativo Industrial,,77,2,,,,1984
Ignição Eletrônica para o Seu Carro,Laboratório Rádio e Eletrônica,2,3,,,Sistema de ignição eletrônica para economia de combustível,Outubro de 1984
"Maior, Menor ou Igual?",Aquilino R. Leal,13,3,,,,Outubro de 1984
Nova Codificação das Emissões Radioelétricas,,19,3,,,,Outubro de 1984
Conheça e Aplique os Cabos Coaxiais,A. Fanzeres,23,3,,,Impedância de linhas de transmissão,Outubro de 1984
A Recepção de TV,,26,3,,,,Outubro de 1984
Mini Detector de Metais,,33,3,,,,Outubro de 1984
A Furação de Placas de Circuito Impresso,,39,3,,,,Outubro de 1984
Idéia para Uma Campainha Musical Eletrônica - Conclusão,Aquilino R. Leal,42,3,,,,Outubro de 1984
Foto-Alarme,,52,3,,,Sensor: transistor comum com o invólucro removido,Outubro de 1984
Análise Dinâmica em Rádio e TV,Josir Cavalcanti,59,3,,,,Outubro de 1984
Idéias & Dicas: transformando um biestável em um monoestável,Aquilino R. Leal,66,3,,,,Outubro de 1984
Aplicações para os Amplificadores Operacionais,,70,3,,,,Outubro de 1984
Informativo Industrial,,75,3,,,,Outubro de 1984
Controle de Brilho para Lâmpadas de Painéis,Newton C. Braga,76,3,,,,Outubro de 1984
Como os Alto-Falantes Reproduzem os Sons,Newton C. Braga,77,3,,,,Outubro de 1984
Sistema Digital de Monitoração de Oito Canais para Automóveis,Aquilino R. Leal,2,4,,,Supervisão de pontos críticos do veículo com mostrador digital e alarme sonoro,Dezembro de 1984
Projeto de Um Interruptor de Toque Temporizado,Newton C. Braga,12,4,,,,Dezembro de 1984
Voltímetro Eletrônico,Josir Cavalcanti,18,4,,,,Dezembro de 1984
"O ""Frio"" Jogo da Roleta Russa em Outra Versão",Aquilino R. Leal,22,4,,,Melhoria do circuito publicado no nº 1,Dezembro de 1984
A Constante de Tempo,,26,4,,,Artigo teórico sobre circuitos RC,Dezembro de 1984
Minuteria e T.E.C. com Programação,,31,4,,,,Dezembro de 1984
Projeto de Um Conversor Analógico-Digital,,39,4,,,,Dezembro de 1984
Interruptor Eletrônico Super Sensível à Luz (foto-comando) com FAST,Aquilino R. Leal,44,4,,,,Dezembro de 1984
