Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Editorial,A. Fanzeres,1,8,,,,
Q.S.O. – A Faixa do Cidadão (Veterano),,3,8,,,,
Intervalador Fotográfico,,4,8,,,,
Antena Ferrite,,7,8,,,,
Um Amplificador de RF Simples,,8,8,,,"De ""Practical Wireless""",
Utilizando a 12AH8,,10,8,,,,
Teste para Semicondutores,,12,8,,,,
Controle de Tonalidade Compensado,,14,8,,,,
Multivibradores,,16,8,,,,
Osciloscópio de Tubo Catódico,,18,8,,,,
O Grande e o Pequeno,,20,8,,,,
Divisores de Frequência para Alta Fidelidade,,21,8,,SDF6,Rede divisora para três alto-falantes,
Detetor Dobrador de Tensão,,23,8,,,,
Amplificador Transistorizado Mini-13,,25,8,,,,
Amplificador de 1 Vátio (TAA 300),,27,8,,TAA300,,
Desfile de Circuitos – National Cº 303 e Stromberg Carlson ASR 33,,29,8,,,,
Lista das Estações de Ondas Curtas de Todos os Países (DX),,30,8,,,,
Voltímetro Eletrônico sem Instrumento,,31,8,,,,
Usando a ELL80,,36,8,,,,
"Mata-Zumbido – Reduzindo o ""Rumble"" do Toca-Discos",,38,8,,,,
Medidor de Impedâncias,,39,8,,,,
Amplificador Híbrido para FI de Vídeo,,40,8,,TV203,Ibrape,
Como Funciona o Cinescópio,,42,8,,,,
Livros Técnicos,A. Fanzeres,44,8,,,,
Medidor Portátil de Diafonia K 2004 da Siemens,,49,8,,,Nota,
Eletrônica Salva Vidas,,1,10,,,Máquina coração-pulmão (nota),
Editorial,A. Fanzeres,1,10,,,,
Controle de Potência Pouco Comum,,3,10,,,,
Célula Padrão & Zener,,5,10,,,,
Antena Ferrite para Ondas Médias,,7,10,,,,
Pré-Amplificador para Radiofrequência,,8,10,,,,
Amplificador de 2 Vátios TAA 300,,9,10,,TAA300,,
Choques de Radiofrequência,,10,10,,,,
Receptor para Três Faixas a Transistores,,13,10,,,Transistores Philips ou Toshiba,
Gerador de Onda Quadrada,,14,10,,,,
Novos Capacitores de Poliester Metalizado,,16,10,,,,
Limitador de Ruídos para Recepção,,18,10,,,,
Medidor de Resistência do Solo – Para Fins Arqueológicos e Outros,,22,10,,,,
Desfile de Circuitos – National Cº Sixty Special,,25,10,,,,
Cartas dos Leitores,,26,10,,,,
Tabela de Conversão de Nepers em Decibéis,,29,10,,,Cortesia Éditions LEPS (França),
Lista das Estações de Ondas Curtas Recebidas no Brasil (DX),,31,10,,,,
Fonte de Alimentação Regulável,,34,10,,,,
Medidor de Fase Angular,,35,10,,,Instrumento (nota),
Uma Revolução na TV,,37,10,,BU105,Transistor de silício,
Amplificador Mirim de 12 Vátios,,39,10,,,Transformadores Wilkason,
Potenciômetros Transistorizados,,43,10,,,,
Pré-Amplificador Integrado TAA 320,,46,10,,TAA320,,
Pré-Amplificador Transistorizado,,46,10,,,,
Q.S.O. – A Faixa do Cidadão (Veterano),,47,10,,,,
Livros em Revista,A. Fanzeres,48,10,,,,
Editorial,A. Fanzeres,1,12,,,,
Transceptor em VHF,,1,12,,,Nota,
Nossa Capa,,2,12,,,,
Comutador Eletrônico,,4,12,,,,
24 Vátios Transistorizados,,8,12,,,,
Traçador de Sinais,,11,12,,,,
"Antena ""Ground Plane""",,14,12,,,,
Diodos Controlados de Silício – SCR,,15,12,,,,
Pré-Amplificador a Válvula,,17,12,,,,
Um Teste para Transistores,,19,12,,,,
Estimulador Muscular,,20,12,,,Eletromedicina,
Utilizando a Válvula 6AV6,,22,12,,,,
Amplificador de 2 Vátios,,24,12,,,,
Desfile de Circuitos – Amplificador de 5 Vátios,,26,12,,,,
Amplificador de Microfone,,28,12,,,,
Um Amplificador de VHF,,31,12,,,,
Televisão Sôbre Tela Grande: Telemegascope,,33,12,,,,
Antena para a Faixa do Cidadão,,34,12,,,,
"""Não Diga!""",,35,12,,,Nota,
Diodos Zener Reguladores de Tensão,,36,12,,,,
Célula de Referência,,37,12,,,Muirhead Ltd. (nota),
Primeira Câmara Automática de TV (em Cores),,38,12,,,Nota,
Tabela de Substituição de Válvulas Européias por Americanas,,39,12,,,,
Tabela de Conversão de Transistores (Motorola),,40,12,,,,
Resistência de Película Metálica,,42,12,,ECL 9500,Nota,
Novidades Industriais – Transceptor de VHF,,43,12,,,,
Valores Aproximados para 2πf,,44,12,,,,
Novas Ferramentas,,45,12,,,Nota,
Guerra e Comunicação,,50,12,,,,
Voltímetro Digital,,1,13,,,Keithley modelo 163 (nota),
Editorial – O Mundo da Eletrônica,A. Fanzeres,1,13,,,,
Capa,,2,13,,,Medidor de nível sonoro Brüel & Kjær; computador analógico Siemens,
Indicador de Radiofrequência,,3,13,,,,
Um Excelente Amplificador de 10 W: M-110,,4,13,,"AD161, AD162, AC187, AC188",Kit Ibrape,
Intercomunicador Transistorizado,,7,13,,,,
Componentes Compactos,,10,13,,,Stromberg-Carlson / General Dynamics (nota),
"Antena Trombone (ou ""J"")",,12,13,,,Faixa do Cidadão,
Gráfico para Enrolamento de Bobinas,,15,13,,,,
Um Circuito Sufocador de Ruído,,19,13,,,,
Tabelas – Quadrados de Números,,20,13,,,,
Intervalador à Lâmpada Neon,,21,13,,,,
Cartas dos Leitores / DX,,26,13,,,,
Medidor de Umidade,,30,13,,,Higrômetro (nota),
Microfilmes,,32,13,,,Kodak (nota),
Amplificador para Gravador,,35,13,,"TAA310, 2N4241","Para gravadores tipo ""K-7""",
Feixes Laser – Músicas e Trovões em Forma de Luz,,37,13,,,Westinghouse Electric,
"Um Eficiente ""Quebra Galho""",,40,13,,NE51,Medidor de resistência de isolamento,
Unidade de Capacidade,,41,13,,,,
Índice Remissivo dos Números 1 a 12 de Rádio-TV Técnico,,42,13,,,,
Fotômetro Digital,,44,13,,,Nota,
Livros em Revista,A. Fanzeres,46,13,,,,
Editorial,A. Fanzeres,1,15,,,,
O Gerador de Sinais e Suas Múltiplas Aplicações,,3,15,,LABO 216,,
Antenas Direcionais para VHF,,8,15,,,,
Receptor Completo de Rádio OM/OC com Circuito Integrado TBA641,,14,15,,TBA641,,
Circuito Integrado Revolucionário,,15,15,,,SGS (nota),
Equipamento Salva-Vida,,16,15,,,Sarbe Mark IV (nota),
3º Dia Mundial das Telecomunicações,,17,15,,,Nota,
Medidor de Campo Transistorizado,,18,15,,,,
Controle de Tonalidade Transistorizado,,23,15,,,Baseado em circuito da Miniwatt Digest,
Limitador de Ruído (Noise Limiter),,25,15,,,,
Cartas dos Leitores,,26,15,,,,
Uma Ponte para Medida de Resistores e Condensadores,,30,15,,,,
Conversão de Polegadas em Decimais e em Milímetros,,34,15,,,,
Modulação de Pouco Custo,,35,15,,,,
Transmissor Monovalvular,Rui Quadros Chaves,37,15,,,De Radiotécnica nº 103; colaboração de leitor,
Circuito Impresso de Potenciômetros,,40,15,,,Nota,
Oscilador a Cristal,,41,15,,,Mullard TCXO (nota),
Extra Alta Tensão Transistorizada,,42,15,,,Nota,
Medidor de Exposição,,43,15,,,Weimarlux nova (nota),
Feira Eletrônica,,44,15,,,,
Indicador Profissional,,45,15,,,,
Livros em Revista,A. Fanzeres,46,15,,,,
Medindo Impurezas,,49,15,,,Bell Telephone Laboratories (nota),
Válvulas Receptoras,,2,16,,,"Tabela; pentodo frame-grid, ECF80/6BL8",
Tetra-Linear,,4,16,,,,
Divisor de Frequências,,8,16,,,,
50 W em Áudio Frequência,,13,16,,,Amplificador a válvulas,
Cinescópio para TV em Preto e Branco,,18,16,,,,
"Um Intervalador usando ""LDR""",,21,16,,LDR,Light dependent resistor,
Desfile de Circuitos,,24,16,,,,
"Um Amplificador Classe ""A""",,27,16,,,Laboratórios Mullard,
Antenas Direcionais para VHF,,28,16,,,Última parte,
Resistores de Carga para RF,,33,16,,,Bird Electronic Corp. (nota),
Medidor de Fluxo,,34,16,,,"""Micro-Foil"" (nota)",
Transistor para 90 Vátios,,35,16,,,Motorola (nota),
Cartas dos Leitores,,36,16,,,,
"Uma Unidade ""Uau Uau"" para a Guitarra",,40,16,,,,
Receptor de Baixo Custo,,42,16,,,,
Tabela de Substituição de Válvulas Européias por Americanas,,46,16,,,Republicada do nº 12,
Indicador Profissional,,47,16,,,,
Editorial,A. Fanzeres,1,19,,,,
Nossa Capa – Cinescópio para TV em Cores,,2,19,,,Ibrape,
Instrumento Musical Transistorizado,,6,19,,,,
Amplificador Sempre Atual,,7,19,,,,
Amplificador Híbrido (Válvula-Semicondutor) para Vídeo,,9,19,,,,
O Canal de Som para TV – Circuito com Um Transistor e Uma Válvula Triodo-Pentodo,,13,19,,,,
Introdução aos Circuitos Lógicos,,17,19,,,,
Válvulas Receptoras,,20,19,,,Tabela de equivalências,
Cartas dos Leitores,,27,19,,,,
Receptor à Pilhas com Transistores Silício Planar,,29,19,,,,
Tabela de Conversão Polegadas x Milímetros,,33,19,,,,
Um Oscilador de Muito Baixa Frequência,,34,19,,,Para trêmolos de instrumentos musicais,
A Pilha Sêca,,37,19,,,,
David Sarnoff,,41,19,,,Obituário (faleceu em 12/12/1971),
Misturador,,46,19,,,"Circuito tipo ""Davidson""",
Marcapassos Cardíacos,Dr. Orestes Fiandra,47,19,,,Comentário de livro,
Feira Eletrônica,,48,19,,,,
Novidades Técnicas – Baterias de Zinco-Ar,,49,19,,,,
Tabela de Substituição de Transistores (RCA),,50,19,,,,
Novos Computadores Miniaturas,,1,20,,,Nota,
Editorial,A. Fanzeres,1,20,,,,
Tremolo Transistorizado,,3,20,,,Para guitarra,
"Uma Válvula – 2,5 Watts",,6,20,,,Amplificador,
Voltímetro Transistorizado,,10,20,,,,
Modulador – Sem Válvula Nem Transistor,,11,20,,,Modulador de AM,
Operando de 10 a 80 Metros com uma Antena Simples,,12,20,,,,
Válvulas Receptoras,,14,20,,,Tabela,
Bônus da UNESCO – Importação sem Saída de Divisas,,20,20,,,,
O Adaptador para TV em Cores,,21,20,,,,
Reduzindo ao Mínimo as Interferências Radiofônicas,,23,20,,,,
Passado... Presente... e Perspectivas,,31,20,,,Condensado do boletim CEDEL,
Modo Fácil de Fabricar Circuitos Impressos,,32,20,,,,
Pequeno Transmissor,,34,20,,,,
Um Novo Rádio Portátil – 60 Vátios e 12 Volts,,35,20,,,Nota,
Cartas dos Leitores,,36,20,,,,
Exame de Telefones,,41,20,,,,
Socorro Automático,,42,20,,,,
Editorial,A. Fanzeres,1,21,,,,
