Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Amplificador de áudio com 6SC7 e 6V6,A. Fanzeres,15,55,,,Página = pág. do PDF (edição sem numeração impressa localizável),Setembro de 1951
Um pequeno receptor utilizando válvulas subminiatura,,16,55,,,Página = pág. do PDF (edição sem numeração impressa localizável); receptor de bôlso,Setembro de 1951
Lista das peças componentes para o amplificador de 25 watts (conjunto Stevaux modêlo 7025),,21,55,,,Página = pág. do PDF (edição sem numeração impressa localizável),Setembro de 1951
Observações sobre a revisão de receptores de TV,,23,55,,,Página = pág. do PDF (edição sem numeração impressa localizável),Setembro de 1951
"Os grandes ""shows"" de televisão nos Estados Unidos",,25,55,,,Página = pág. do PDF (edição sem numeração impressa localizável),Setembro de 1951
A era das microondas,,27,55,,,Página = pág. do PDF (edição sem numeração impressa localizável),Setembro de 1951
Exploração e composição da imagem da televisão (continuação),,31,55,,,Página = pág. do PDF (edição sem numeração impressa localizável); curso de TV / análise de defeitos,Setembro de 1951
Consultório,,37,55,,,Página = pág. do PDF (edição sem numeração impressa localizável); consultório técnico,Setembro de 1951
Regulador de voltagem,,39,55,,,Página = pág. do PDF (edição sem numeração impressa localizável); nova unidade automática da Thordarson-Meissner,Setembro de 1951
Teste seus conhecimentos,,47,55,,,Página = pág. do PDF (edição sem numeração impressa localizável),Setembro de 1951
Medidor para a alimentação de fôrça,,50,55,,,Página = pág. do PDF (edição sem numeração impressa localizável),Setembro de 1951
Um PY além das fronteiras do Brasil,,51,55,,,"Página = pág. do PDF (edição sem numeração impressa localizável); reportagens de visitas a radioamadores europeus, patrocínio do Centro Paulista de Radio Amadores",Setembro de 1951
Índice-enderêço dos anunciantes,,54,55,,,Página = pág. do PDF (edição sem numeração impressa localizável),Setembro de 1951
Nossa capa: a bateria SNAP-III,,12,142,,,,Setembro a Novembro 1959
Código de válvulas receptoras Philips,,11,142,,,,Setembro a Novembro 1959
Os semicondutores e sua utilização (I),A. F. Ioffe,15,142,,,Tradução de R. Argentière,Setembro a Novembro 1959
O SNAP-III: bateria para gerar eletricidade,,22,142,,,Conversão de energia atômica em energia elétrica,Setembro a Novembro 1959
Escolha e fixação dos suportes de antena,,24,142,,,Tradução de João Luiz de Almeida,Setembro a Novembro 1959
Consultório técnico,,27,142,,,,Setembro a Novembro 1959
Aparelho para solda elétrica,Próspero H. Lapagesse,29,142,,,,Setembro a Novembro 1959
QSO,,31,142,,,"Coluna de radioamadorismo, sob a direção de PY1FE",Setembro a Novembro 1959
Desfile de Circuitos,A. Fanzeres,32,142,,,"Amplificador de 3 W, 3 válvulas, 1% de distorção",Setembro a Novembro 1959
O Sputnik,A. Fanzeres,33,142,,,,Setembro a Novembro 1959
Fonte portátil com transistor,,34,142,,,,Setembro a Novembro 1959
Noticiário,,35,142,,,"Inclui ""A eletrônica na astronomia"", ""Contrôle eletrônico de fundição"" e a EMI na América Latina",Setembro a Novembro 1959
Índice-enderêço dos anunciantes,,36,142,,,,Setembro a Novembro 1959
Guia Invictus 17,,37,142,,,Suplemento de esquemas de receptores e televisores Invictus; inclui lista de cidades brasileiras com radioemissoras (ondas médias),Setembro a Novembro 1959
Nossa capa: painel central da estação emissora de Rugby (Inglaterra),,12,151,,,,Setembro de 1960
Bilhete do Editor,,13,151,,,,Setembro de 1960
Princípio de funcionamento do pêndulo eletrônico,,15,151,,,,Setembro de 1960
O Mago do Mundo Moderno (I),João Luiz de Almeida,20,151,,,,Setembro de 1960
O gravador de vídeo sobre fita magnética,,24,151,,,,Setembro de 1960
O videomagnetofono,,30,151,,,,Setembro de 1960
Idéias práticas,,32,151,,,,Setembro de 1960
Emprêgo pacífico da energia atômica (conclusão),,34,151,,,,Setembro de 1960
Noticiário,,43,151,,,,Setembro de 1960
Índice-enderêço dos anunciantes,,44,151,,,,Setembro de 1960
Guia Invictus n.º 26,,45,151,,,Suplemento de esquemas Invictus,Setembro de 1960
Nossa capa: amplificador de Hi-Fi de 12 watts,,10,152,,,Esquema divulgado no nº 114; montagem por aluno da Escola Técnica Eduardo Prado,Outubro de 1960
Bilhete do editor,,11,152,,,,Outubro de 1960
Os sons que não ouvimos (I),B. Kudryavtsev,13,152,,,Tradução de R. Argentière e Elba Monteiro do Amaral; início da publicação do livro em capítulos,Outubro de 1960
A régua de cálculo e seu uso,,20,152,,,,Outubro de 1960
O emprêgo de transistores nos osciladores de baixa frequência,,25,152,,,,Outubro de 1960
Detector de mentiras,,31,152,,,,Outubro de 1960
O Mago do Mundo Moderno (II): intervenção eletrônica,João Luiz de Almeida,38,152,,,Da Escola de Especialistas de Aeronáutica,Outubro de 1960
Noticiário,,43,152,,,,Outubro de 1960
Índice-enderêço dos anunciantes,,44,152,,,,Outubro de 1960
Guia Invictus n.º 27,,45,152,,,Suplemento de esquemas Invictus,Outubro de 1960
Tabela de transformadores Willkason,,10,166,,,,Novembro de 1962
Mensagem,,13,166,,,Editorial; a revista ficou quatro meses sem circular,Novembro de 1962
Melhoremos a baixa frequência de nossos aparelhos,,14,166,,,,Novembro de 1962
O ondâmetro F3LG de dupla absorção,,19,166,,,,Novembro de 1962
"Tweeter eletrostático, valerá a pena?",Nicola Labate,26,166,,,,Novembro de 1962
A compensação de capacitâncias parasitas,,28,166,,,,Novembro de 1962
Circuitos de relês sensíveis,A. Fanzeres,33,166,,,,Novembro de 1962
Oscilador fonográfico com uma válvula,Paulo Ferreira Aratangy,38,166,,,,Novembro de 1962
Ouvindo música sem válvulas e sem transistores,,44,166,,,Cápsula reprodutora de som da SINCRO - Eletro Sônica,Novembro de 1962
Cortador de reclame,,46,166,,,Circuito que corta a voz humana e mantém a música,Novembro de 1962
