Artigo:,Autor:,Página:,Edição:,Categorias:,Componentes:,Notas:,Data:
Efeito audiovisual,,3,1,,,,1987
Rádio ligado por fósforo,,4,1,,,,1987
Conversor resistência/tensão,,4,1,,,,1987
Relé contra falta de fase (industrial),,5,1,,,,1987
Módulos de recepção OM,,5,1,,,,1987
Driver para motores CC,,6,1,,,,1987
Gerador de barras + microfone sem fio de FM,,7,1,,,,1987
Ativação de carga por ruído ambiente,,8,1,,,,1987
Identificador de polaridade de transistores,,10,1,,,,1987
Controle de carga externa com MSX,,10,1,,,,1987
Dois medidores de intensidade de campo,,11,1,,,,1987
Ohmímetro de leds,,12,1,,,,1987
Rádio AM/FM,,13,1,,,,1987
Codificador,,14,1,,,,1987
Minissemáforo,,15,1,,,,1987
Oscilador fotossensível,,15,1,,,,1987
Provador astável de diodos,,20,1,,,,1987
Comutador simples 110/220V,,20,1,,,,1987
VU-de-leds,,21,1,,,,1987
Detector de níveis lógicos,,22,1,,,,1987
"""Sara-tudo""",,22,1,,,,1987
Alarme temporizado,,23,1,,,,1987
Amplificador integrado de 2W,,23,1,,,,1987
Central transmissora,,24,1,,,,1987
Controle de temperatura,,24,1,,,,1987
Provador lógico diferente,,25,1,,,,1987
Controle de balanço para carros,,25,1,,,,1987
Tiro ao alvo,,26,1,,,,1987
Minifliperama,,28,1,,,,1987
Relé de sub e sobretensão da rede,,28,1,,,,1987
Miniamplificador ou caixa amplificada,,29,1,,,,1987
Seqüencial reversível de 5 canais,,30,1,,,,1987
Chocante,,30,1,,,,1987
Controle de velocidade para motores CA até 1.200 Watts,,31,1,,,,1987
Eficiente alarme contra ladrões,,32,1,,,,1987
Programa para polarização de transistores,,33,1,,,,1987
Teste simples de diodos,,33,1,,,,1987
Multiteste versátil,,34,1,,,,1987
Minigerador experimental,,34,1,,,,1987
Osciloscópio com leds,,35,1,,,,1987
Fotocontrole temporizado,,36,1,,,,1987
Seqüencial maluco,,37,1,,,,1987
Seqüencial rítmico para o carro,,37,1,,,,1987
Carregador de baterias - Fonte para toca-fitas e PX,,38,1,,,,1987
Senha programável,,40,1,,,,1987
Novo controle-remoto,,40,1,,,,1987
"""Testa-tudo""",,41,1,,,,1987
Injetor de sinais,,41,1,,,,1987
Superagudo passivo para guitarra ou contrabaixo,,42,1,,,,1987
Amplificador de uso geral,,43,1,,,,1987
Indicador de tensão,,43,1,,,,1987
Roger Beep para o PX Sharp,,44,1,,,,1987
Capacímetro por som,,44,1,,,,1987
Carregador automático de baterias,,46,1,,,,1987
Transmissor de FM,,47,1,,,,1987
Indicador de níveis lógicos,,47,1,,,,1987
Oscilador para telegrafia de múltiplo tom,,48,1,,,,1987
Programa para cálculo de capacitores em série ou resistores em paralelo,,49,1,,,,1987
Sinalizador de FM,,49,1,,,,1987
Miniórgão com vibrato,,50,1,,,,1987
Sintonia simples por varicap,,50,1,,,,1987
Pisca-pisca para bicicleta,,52,1,,,,1987
Freqüencímetro de 1 Hz a 300 kHz,,52,1,,,,1987
Duas antenas para a faixa do cidadão,,53,1,,,,1987
Controle de nível de caixa d'água,,53,1,,,,1987
Manipulador eletrônico,,56,1,,,,1987
Alarme temporizado para o carro,,57,1,,,,1987
Microfone a pilha,,57,1,,,,1987
Novo joystick para o Atari,,58,1,,,,1987
Campainha musical,,58,1,,,,1987
Vaca eletrônica,,59,1,,,,1987
Indicador de sintonia para FM,,60,1,,,,1987
Simples mas eficaz provador de zener,,60,1,,,,1987
Antena econômica para PX,,62,1,,,,1987
Microrrádio AM,,62,1,,,,1987
Gerador de sons complexos,,63,1,,,,1987
Temporizador seqüencial,,64,1,,,,1987
Transmissor órgão de FM,,64,1,,,,1987
Roleta eletrônica,,65,1,,,,1987
Vento eletrônico,,66,1,,,,1987
Fonte para o Data Corder,,66,1,,,,1987
Pré-amplificador universal,,67,1,,,,1987
Dimmer para 8 Ampères,,67,1,,,,1987
Alterando receptor de FM para VHF,,68,1,,,,1987
Acionador de rádio por lanterna,,70,1,,,,1987
Leds rítmicos,,70,1,,,,1987
Sirene dupla - americana + inglesa,,71,1,,,,1987
Alarme de aproximação,,71,1,,,,1987
Eletroscópio eletrônico,,72,1,,,,1987
Fonte sem transformador,,72,1,,,,1987
Adaptador de nível,,73,1,,,,1987
Jogo de palitinhos,,74,1,,,,1987
Monitor de irrigação de solo,,75,1,,,,1987
Minissirene,,75,1,,,,1987
Grid-Dip Meter,,76,1,,,,1987
Comutador automático 110/220V,,78,1,,,,1987
Sinalizador de portões,,78,1,,,,1987
Fonte escalonada + gerador de áudio,,79,1,,,,1987
Seqüencial diferente,,79,1,,,,1987
Sistema de segurança por telefone ou telerrecado,,80,1,,,,1987
Minitransmissor de ótima estabilidade,,82,1,,,,1987
Freqüencímetro digital,,82,1,,,,1987
Minicomputador para a garotada,,83,1,,,,1987
Verificador de diodos zener II,,84,1,,,,1987
Milivoltímetro de AC,,85,1,,,,1987
Intercomunicador bilateral,,86,1,,,,1987
Temporizador programável,,88,1,,,,1987
Chave digital programável,,89,1,,,,1987
Programador para música eletrônica,,90,1,,,,1987
Freqüencímetro digital,,91,1,,,,1987
Lâmpada prolongada com interruptor crepuscular,,94,1,,,,1987
Receptor elementar de ondas médias,,95,1,,,,1987
Transformador eletrônico de 1.500W,,95,1,,,,1987
Oscilador telegráfico II,,96,1,,,,1987
Simples injetor de sinais,,96,1,,,,1987
Tacômetro óptico,,96,1,,,,1987
Efeito rítmico seqüencial,,98,1,,,,1987
Pisca-pisca simples,,100,1,,,,1987
Amplificador de 20W,,100,1,,,,1987
Amplificador integrado,,101,1,,,,1987
Caixa de substituição de capacitores,,101,1,,,,1987
Lâmpada de ponto,,102,1,,,,1987
Acordeom eletrônico a pilha,,103,1,,,,1987
Codificador automático para telegrafia,,104,1,,,,1987
Multiplex sem complicação,,106,1,,,,1987
Limitador de ruído para gravador,,3,2,,,,1987
Grampeador telefônico,,3,2,,,,1987
Tiro ao alvo eletrônico,,4,2,,,,1987
Iluminação de emergência,,4,2,,,,1987
Interruptor crepuscular,,5,2,,,,1987
Analisador dinâmico,,5,2,,,,1987
Meça hFE com o multímetro,,6,2,,,,1987
Digitime - Temporizador digital programável de 5 minutos a 12 horas,,6,2,,,,1987
Programa para conversão de unidades,,8,2,,,,1987
Multiprovador automático,,8,2,,,,1987
Simulador de estéreo para TV,,9,2,,,,1987
Fonte sem transformador,,9,2,,,,1987
Órgão eletrônico de várias oitavas,,10,2,,,,1987
Injetor com alimentação da rede,,10,2,,,,1987
Alarme visual para telefone fora do gancho,,11,2,,,,1987
Interruptor de toque,,11,2,,,,1987
Servo luz rítmica,,12,2,,,,1987
Intercomunicador,,12,2,,,,1987
Osciloscópio com LEDs,,12,2,,,,1987
Testador de transistor no circuito,,14,2,,,,1987
Pistola laser,,14,2,,,,1987
Chave digital CMOs,,15,2,,,,1987
Sirene,,15,2,,,,1987
Antifurto para o carro,,16,2,,,,1987
Ponteira de teste CA/CC,,17,2,,,,1987
Pisca neon experimental,,17,2,,,,1987
Amperímetro econômico,,18,2,,,,1987
Foto reed-relé,,18,2,,,,1987
Temporizador de precisão,,19,2,,,,1987
Timer 555,,20,2,,,,1987
Carregador de pilhas de níquel/cádmio,,20,2,,,,1987
Assobiador seqüencial,,26,2,,,,1987
Timer decrescente,,26,2,,,,1987
Alerta sonoro para pisca-pisca,,28,2,,,,1987
