Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Prefácio,,2,1,,,,
Símbolos,,3,1,,,Dicionário de símbolos usados nos esquemas eletrônicos,
Capítulo I - O transistor,,5,1,,,,
Capítulo II - Amplificadores,,8,1,,,,
Capítulo III - O transistor em ação: amplificadores,,11,1,,,,
Capítulo IV - Transistores em ação: osciladores,,14,1,,,,
Capítulo V - O transistor em ação: comutação,,15,1,,,Título aproximado (OCR),
Capítulo VI - Outros tipos de semicondutores,,16,1,,,"Diac, diodo túnel, diodo invertido, transistores de efeito de campo",
Capítulo VII - Circuitos integrados,,21,1,,,Título aproximado (OCR),
Um transmissor para a faixa do cidadão,,21,1,,,Circuitos práticos; emissor de fonia para a faixa do cidadão (CB),
FM a longa distância,,22,1,,,Circuitos práticos; recepção de FM a mais de 250 km,
Examinador de diodo,,23,1,,,Circuitos práticos; teste de diodos com três lâmpadas,
Amplificador universal,,24,1,,,"Circuitos práticos; transistores planar de silício, uso industrial e de áudio",
Transmissor-receptor de ultrassom,,25,1,,,Circuitos práticos,
Pré-amplificador transistorizado,,26,1,,,Circuitos práticos; entre o pick-up e o amplificador,
Teste para transistores de potência,,27,1,,,Circuitos práticos; teste go/no-go com miliamperímetro,
Amplificador,,28,1,,,Circuitos práticos; com lista de materiais,
Amplificador de alta qualidade (15 W),,30,1,,,Circuitos práticos,
Um teste para transistores,,32,1,,,Circuitos práticos; exame simultâneo das correntes de base e coletor,
Ponte de medida para R-C,,33,1,,,Circuitos práticos; medição de condensadores e resistências pelo princípio da ponte,
Fonte estabilizada,,34,1,,,"Circuitos práticos; tensões de 1,5 a 9 V c.c., até 50 mA",
Utilizando VFO,,35,1,,,Circuitos práticos; transistor de efeito de campo (MOS),
Capacitores eletrolíticos IBRAPE,,37,1,,,Tabela técnica de tensão máxima de trabalho e tamanho,
Medidor de capacidade,,38,1,,,Circuitos práticos,
Pré-amplificador RCA,,39,1,,,Circuitos práticos,
Unidade de referência para osciloscópio,,40,1,,,"Circuitos práticos; tensões retangulares de 0,1 a 10 V pico a pico",
Um pré-amplificador para radiofrequência,,41,1,,,Circuitos práticos; do tipo sintonizado,
Livros publicados,,42,1,,,Anúncio de livros de A. Fanzeres,
