Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
"Revista do Técnico Reparador RT-2004, um Pouco de História",,5,4,,,,
DEFEITOS,,7,4,,,,
PHILCO - CPH-01/02/03/05,,7,4,,,,
PHILCO - PVC-5000/-6000,,7,4,,,,
NATIONAL - Chassi B41: TC-20R1M/14R1M,,7,4,,,,
NATIONAL - Chassi B3: TC-161M/142M/141N/141M,,7,4,,,,
NATIONAL - Chassi B4: TC-144M/145M/146M/TC-163M/165M,,7,4,,,,
PANASONIC - TC-14C1/20C1,,7,4,,,,
PANASONIC - G9,,8,4,,,,
PANASONIC - TC-14D2/20D2,,8,4,,,,
PANASONIC - Linha G: PV-4800/4010/4920,,8,4,,,,
TELEFUNKEN - Chassi 841,,8,4,,,,
TOSHIBA - TVC-147 CR,,8,4,,,,
TOSHIBA - TS-147/167/207/TVC-100/140/200/TS-160,,8,4,,,,
TOSHIBA - TV-1458/M-5130/5330/5530,,8,4,,,,
PHILIPS - KT-3,,8,4,,,,
PHILIPS - Chassi CTO/Chassi CTO-L,,8,4,,,,
PHILIPS - CN - Chassi NCF,,9,4,,,,
PHILIPS - Chassi GR1-AL: 14GL1010/1310/1410/1412/16GL1030/1330/20GL1040/1340/1440/21GL1452,,9,4,,,,
PHILIPS - Chassi GR6-AL: 14GX1619/20GX1659/21GX1669,,9,4,,,,
PHILIPS - Chassi GR1-AL2: 14GL1011/1012/14GL1311/14GL1312/1411/16GL1031/16GL1032/1331/1332/20GL1041/20GL1042/1341/1342/21GL1451,,9,4,,,,
PHILIPS - Chassi GR1-CL: 21GR7560/28GR7580/28GR7680/7585/7685,,9,4,,,,
PHILIPS - VR-6491,,9,4,,,,
PHILIPS - Chassi L7-L: 14PT110/111/112/113/14PT120/121/210/220A/1006/1009A,,9,4,,,,
MITSUBISHI - TC-1620/2020/2001,,9,4,,,,
SHARP - VC-1196,,9,4,,,,
SHARP - Chassi H: 1432/1632/1412B/2012B/1450B/2050B/1452B/1430H/1630H/1426H/1410/2010/1490H/1492B,,10,4,,,,
