"Artigo:","Autor:","Página:","Edição:","Categorias:","Componentes:","Notas:","Data:"
"Monte um Teclado Digital",,8,46,,,,"Abril/1976"
"OFICINA: Monte um Gerador de Barras para TV",,24,46,,,,"Abril/1976"
"'HOBBY': Monte um Semáforo Eletrônico",,29,46,,,,"Abril/1976"
"ORIENTAÇÃO PARA O MONTADOR",,35,46,,,,"Abril/1976"
"Chave Sequencial Anti-Furto",,38,46,,,,"Abril/1976"
"Osciladores a Cristal",,43,46,,,,"Abril/1976"
"PROFISSIONALIZANTE: Redutor de Tensão",,48,46,,,,"Abril/1976"
"Aplicações Práticas para os Amplificadores Operacionais",,50,46,,,,"Abril/1976"
"PRINCIPIANTE: Nervo-Teste",,55,46,,,,"Abril/1976"
"Tabela de Conversão de Valores Pico-a-Pico,Médios e Eficazes (RMS)",,60,46,,,,"Abril/1976"
"Tabela de Conversão Resistência x Condutância",,62,46,,,,"Abril/1976"
"Estabilizadores de Tensão em Paralelo",,64,46,,,,"Abril/1976"
"Estado de Espírito e Íons",,67,46,,,,"Abril/1976"
"CURSO DE ELETRÔNICA (Lição 1)",,69,46,,,,"Abril/1976"
"Gerador de Funções",,2,47,,,,"Maio/1976"
"Equipamento de Onda Portadora ('Carrier') para Assinante",,11,47,,,,"Maio/1976"
"'HOBBY': Lâmpada Mágica - Luz de Cabeceira Sensível ao Toque",,14,47,,,,"Maio/1976"
"Monte um Frequencímetro Digital (Parte 2)",,21,47,,,,"Maio/1976"
"Aplicações para Circuitos Integrados Lineares",,33,47,,,,"Maio/1976"
"ORIENTAÇÃO PARA O MONTADOR",,35,47,,,,"Maio/1976"
"Controle de Velocidade para Furadeiras Elétricas",,37,47,,,,"Maio/1976"
"OFICINA: A Etapa de Saída Horizontal: Funcionamento e Reparação",,43,47,,,,"Maio/1976"
"Série ou Paralelo?",,51,47,,,,"Maio/1976"
"PRINCIPIANTE: Simples Redutor de Intensidade Luminosa",,52,47,,,,"Maio/1976"
"Os Transistores de Efeito de Campo MOS",,58,47,,,,"Maio/1976"
"Aplicações Práticas para os Amplificadores Operacionais",,69,47,,,,"Maio/1976"
"CURSO DE ELETRÔNICA: (Lição 1 - RekkkkEdição)",,72,47,,,,"Maio/1976"
"CURSO DE ELETRÔNICA: (Lição 2)",,85,47,,,,"Maio/1976"
"Monte um Frequencímetro Digital (Conclusão)",,2,48,,,,"Junho/1976"
"Pré-Amplificador Misturador",,24,48,,,,"Junho/1976"
"O Volt",,28,48,,,,"Junho/1976"
"Interruptor Crepuscular",,29,48,,,,"Junho/1976"
"'HOBBY': Sirene para Sistemas de Alarme e Brinquedos",,36,48,,,,"Junho/1976"
"Voltímetro com FET",,42,48,,,,"Junho/1976"
"ORIENTAÇÃO PARA O MONTADOR",,45,48,,,,"Junho/1976"
"Dissipadores de Calor",,47,48,,,,"Junho/1976"
"O Ohm",,47,48,,,,"Junho/1976"
"Circuitos de Tempo Imunes ao Ruído com Elementos LSL",,48,48,,,,"Junho/1976"
"Ruído nas Telecomunicações",,54,48,,,,"Junho/1976"
"CURSO DE ELETRÔNICA (Lição 3)",,65,48,,,,"Junho/1976"
"Amplificador de Potência Darlington (parte 1)",,2,49,,,,"Julho/1976"
"As Características do som",,16,49,,,,"Julho/1976"
"Reparação de TV - Curso Senai",,19,49,,,,"Julho/1976"
"Três radios transistorizados para o principiante montar",,22,49,,,,"Julho/1976"
"Um pouco sobre antenas",,35,49,,,,"Julho/1976"
"ORIENTAÇÃO PARA O MONTADOR",,40,49,,,,"Julho/1976"
"Fitobiônica,a comunicação com os vegetais",,43,49,,,,"Julho/1976"
"Fonte para experiências de físico/química",,50,49,,,,"Julho/1976"
"Indicador de seta para automóvel",,56,49,,,,"Julho/1976"
"Amplificadores Operacionais em Audio",,59,49,,,,"Julho/1976"
"Cara ou Coroa - Pisca Pisca com CI",,61,49,,,,"Julho/1976"
"Fonte Regulada 5-24 V,2A",,63,49,,,,"Julho/1976"
"CURSO DE ELETRÔNICA (Lição 4)",,65,49,,,,"Julho/1976"
"Decodificador FM estéreo (sem bobina)",,2,50,,,,"Agosto/1976"
"Reparação de TV - Curso Senai",,12,50,,,,"Agosto/1976"
"Anemômetro Digital (com indicador de direção do vento)",,14,50,,,,"Agosto/1976"
"Sintonia fina para o receptor de ondas curtas",,19,50,,,,"Agosto/1976"
"Construa um Detector de Unidade",,20,50,,,,"Agosto/1976"
